variant,n,wr,pf,exp,mdd,boot_p5,d5,dmed,d95,sig
BASE,284,0.426056338028169,1.4846625766871167,27.816901408450708,-0.3840476091140854,1.2272727272727273,0.0,0.0,0.0,—
V01_time18,161,0.36024844720496896,1.1262135922330097,8.074534161490684,-0.41540759722639586,0.8495575221238938,-1.7314949201741654,-0.9393601782587937,-0.29876915708812274,SIG↓
V02_time1416,92,0.3804347826086957,1.2280701754385965,14.130434782608694,-0.2396994533396949,0.8307692307692308,-0.9393650793650795,-0.3904761904761904,0.2462766450453697,
V03_volceil,210,0.46190476190476193,1.7168141592920354,38.57142857142858,-0.265133958353424,1.36,0.1657754010695187,0.7435897435897435,1.3191618397660148,SIG↑
V04_breakout,57,0.45614035087719296,1.6774193548387097,36.8421052631579,-0.059641593393519064,1.0810810810810811,-0.39568345323741005,0.27211975407645017,1.2124822695035462,
V05_vol175,227,0.43171806167400884,1.5193798449612403,29.515418502202646,-0.3170952229002979,1.2198581560283688,-0.6324918709476431,0.16643866849065203,0.7982345523329129,
V06_vol200,173,0.44508670520231214,1.6041666666666667,33.52601156069364,-0.24105785835349314,1.233644859813084,-0.27179228179228165,0.33423867245262995,0.9273654029945844,
V07_rr175,285,0.4666666666666667,1.53125,28.333333333333332,-0.34348209241484,1.2545180722891567,-0.05735930735930728,0.05509953152893088,0.18437286500823857,
V08_rr225,282,0.39361702127659576,1.4605263157894737,27.925531914893615,-0.4205773386833107,1.1983695652173914,-0.13555194805194826,-0.020562130177514737,0.07890466531440166,
V09_exit_time24,284,0.43661971830985913,1.5240172657340056,29.52209947797215,-0.3534383155938122,1.2595581178340087,0.0,0.03565358278120623,0.08626391953460362,
V10_exit_partial,291,0.21993127147766323,0.8,-8.247422680412372,-0.4278620872958566,0.612,-0.8834831056793673,-0.6783793129946976,-0.503115534165375,SIG↓
V11_exit_trail,295,0.42033898305084744,1.2146380949973565,6.187355260879049,-0.3241081164625767,0.9479239801186577,-0.5003319317778215,-0.22800989156605966,0.038515287747330144,
