hyp,n,tpm,pf,wr,mdd,prof,selpf,holpf,holmdd,holtpm
A_FAM_signal,403,14.925925925925926,1.477832512315271,0.49627791563275436,-0.3105797281002334,0.4827586206896552,1.4896551724137932,1.4482758620689655,-0.19896845760838325,16.285714285714285
H1a_trendpull30,2974,110.14814814814815,1.0089988751406074,0.4021519838601211,-0.6759527068534994,0.4666666666666667,1.050233644859813,0.9018218623481782,-0.6306161330836325,113.0
H1b_trendpull25,5085,188.33333333333334,0.9581050596197228,0.38977384464110126,-0.9180652906212842,0.36666666666666664,0.982736013986014,0.8889570552147239,-0.8158011206941462,185.42857142857142
H2a_breakout,24345,901.6666666666666,1.0408749218230422,0.40965290614089134,-0.9774507885941269,0.6333333333333333,1.0356372503047924,1.0559359680049403,-0.9583556685018068,902.8571428571429
H2b_breakout15,26972,998.9629629629629,1.034482818316268,0.4081640219486875,-0.9785371966269182,0.6,1.032979175520612,1.038697623399053,-0.963892985208722,1015.0
H3a_comppop,7717,285.81481481481484,1.002810810810811,0.4006738369832837,-0.9481023078056294,0.3333333333333333,0.9798972188633616,1.060364464692483,-0.8247595484312776,321.14285714285717
H3b_comppop_rv12,11089,410.7037037037037,0.9785426911041574,0.3948056632699071,-0.9875131548868209,0.43333333333333335,0.9621761658031088,1.0204135737009543,-0.9191416583359282,452.7142857142857
H4a_oversold,4773,176.77777777777777,0.9228426395939087,0.3808925204274041,-0.9830809888433085,0.4,0.962531017369727,0.8377659574468085,-0.9200664965029002,209.28571428571428
H4b_oversold25,1991,73.74074074074075,0.9763681592039801,0.3942742340532396,-0.8517659039370845,0.5,1.00125,0.9273399014778325,-0.608640562886614,93.85714285714286
H5a_adxign,9850,364.81481481481484,0.995068687055014,0.3988832487309645,-0.9196372259500757,0.5333333333333333,0.9863207547169811,1.0171336680861018,-0.7898870011334383,403.14285714285717
H5b_adxign_rv12,13038,482.8888888888889,0.9892186476645541,0.3974535971774812,-0.9771341166296634,0.43333333333333335,0.9946524064171123,0.9756463473075412,-0.903805210701339,529.7142857142857
