pair,ts,type,depth,rsi,atr_rank,adx,ema_dist,relvol,trend,hour,bb,long_out,atr,spread,r
EURGBP,2024-08-19 08:00:00+00:00,VWAP,0.9051963977118691,21.41181671051413,,39.45669487834272,-0.8127212705699813,1.6508683949031562,-0.003620289001898591,8,0.6192786434322367,-1.0,0.0012814087142986987,0.0001,-1.0
USDCAD,2024-08-19 08:00:00+00:00,EMA20,1.8477335341871917,39.67605894114287,,27.70014238263442,-0.4644275936529825,1.040780070021122,-0.002228324637917556,8,0.31458452061245346,-1.0,0.0021613573914702443,0.0001,-1.0
USDCAD,2024-08-19 08:00:00+00:00,VWAP,0.47946258185548424,39.67605894114287,,27.70014238263442,-0.4644275936529825,1.040780070021122,-0.002228324637917556,8,0.31458452061245346,-1.0,0.0021613573914702443,0.0001,-1.0
USDCAD,2024-08-19 08:00:00+00:00,PD,1.1103769449270964,39.67605894114287,,27.70014238263442,-0.4644275936529825,1.040780070021122,-0.002228324637917556,8,0.31458452061245346,-1.0,0.0021613573914702443,0.0001,-1.0
USDCAD,2024-08-19 08:00:00+00:00,P20,3.6782201510154544,39.67605894114287,,27.70014238263442,-0.4644275936529825,1.040780070021122,-0.002228324637917556,8,0.31458452061245346,-1.0,0.0021613573914702443,0.0001,-1.0
EURGBP,2024-08-19 08:00:00+00:00,EMA20,2.075313871818371,21.41181671051413,,39.45669487834272,-0.8127212705699813,1.6508683949031562,-0.003620289001898591,8,0.6192786434322367,-1.0,0.0012814087142986987,0.0001,-1.0
EURGBP,2024-08-19 08:00:00+00:00,P20,6.602097489890357,21.41181671051413,,39.45669487834272,-0.8127212705699813,1.6508683949031562,-0.003620289001898591,8,0.6192786434322367,-1.0,0.0012814087142986987,0.0001,-1.0
EURGBP,2024-08-19 08:00:00+00:00,PD,0.9520677170752515,21.41181671051413,,39.45669487834272,-0.8127212705699813,1.6508683949031562,-0.003620289001898591,8,0.6192786434322367,-1.0,0.0012814087142986987,0.0001,-1.0
EURGBP,2024-08-20 08:00:00+00:00,VWAP,0.8834478416528488,42.85738859693636,,36.44451364565181,-0.8120224539709441,1.5928578333708592,-0.0038345493267537556,8,0.25836934001289685,-1.0,0.0011883316479188318,0.0001,-1.0
USDCAD,2024-08-20 08:00:00+00:00,PD,3.494785805419632,18.305790960451972,,34.10235757051204,-0.8619059707406421,0.9393220146499347,-0.0034044079190942433,8,0.5522936802075993,-1.0,0.002283398610422323,0.0001,-1.0
USDCAD,2024-08-20 08:00:00+00:00,P20,5.8465525280072566,18.305790960451972,,34.10235757051204,-0.8619059707406421,0.9393220146499347,-0.0034044079190942433,8,0.5522936802075993,-1.0,0.002283398610422323,0.0001,-1.0
EURGBP,2024-08-20 08:00:00+00:00,P20,5.309953770525981,42.85738859693636,,36.44451364565181,-0.8120224539709441,1.5928578333708592,-0.0038345493267537556,8,0.25836934001289685,-1.0,0.0011883316479188318,0.0001,-1.0
USDCAD,2024-08-20 08:00:00+00:00,EMA20,2.7706040539603873,18.305790960451972,,34.10235757051204,-0.8619059707406421,0.9393220146499347,-0.0034044079190942433,8,0.5522936802075993,-1.0,0.002283398610422323,0.0001,-1.0
USDCAD,2024-08-20 08:00:00+00:00,VWAP,0.8381649010951789,18.305790960451972,,34.10235757051204,-0.8619059707406421,0.9393220146499347,-0.0034044079190942433,8,0.5522936802075993,-1.0,0.002283398610422323,0.0001,-1.0
EURGBP,2024-08-20 08:00:00+00:00,EMA20,1.3908144725876534,42.85738859693636,,36.44451364565181,-0.8120224539709441,1.5928578333708592,-0.0038345493267537556,8,0.25836934001289685,-1.0,0.0011883316479188318,0.0001,-1.0
EURGBP,2024-08-20 08:00:00+00:00,PD,1.649353980920859,42.85738859693636,,36.44451364565181,-0.8120224539709441,1.5928578333708592,-0.0038345493267537556,8,0.25836934001289685,-1.0,0.0011883316479188318,0.0001,-1.0
EURGBP,2024-08-21 08:00:00+00:00,VWAP,0.8033561981947877,55.16735784560393,,30.350122290682002,-0.65776051350658,1.4808696552336067,-0.0038593312895420784,8,0.18486098340828952,-1.0,0.0011833172949925008,0.0001,-1.0
USDCAD,2024-08-21 08:00:00+00:00,PD,2.133104010608506,26.49376062067664,,33.262593071745556,-0.9190107973477234,1.0396818557939853,-0.004477617847636894,8,0.497308180153211,-1.0,0.002217419388493197,0.0001,-1.0
EURGBP,2024-08-21 08:00:00+00:00,PD,1.3183047097029117,55.16735784560393,,30.350122290682002,-0.65776051350658,1.4808696552336067,-0.0038593312895420784,8,0.18486098340828952,-1.0,0.0011833172949925008,0.0001,-1.0
EURGBP,2024-08-21 08:00:00+00:00,EMA20,0.5985757614700329,55.16735784560393,,30.350122290682002,-0.65776051350658,1.4808696552336067,-0.0038593312895420784,8,0.18486098340828952,-1.0,0.0011833172949925008,0.0001,-1.0
USDCAD,2024-08-21 08:00:00+00:00,P20,6.444416983307461,26.49376062067664,,33.262593071745556,-0.9190107973477234,1.0396818557939853,-0.004477617847636894,8,0.497308180153211,-1.0,0.002217419388493197,0.0001,-1.0
USDCAD,2024-08-21 08:00:00+00:00,VWAP,0.7875794156751722,26.49376062067664,,33.262593071745556,-0.9190107973477234,1.0396818557939853,-0.004477617847636894,8,0.497308180153211,-1.0,0.002217419388493197,0.0001,-1.0
USDCAD,2024-08-21 08:00:00+00:00,EMA20,2.278412211897663,26.49376062067664,,33.262593071745556,-0.9190107973477234,1.0396818557939853,-0.004477617847636894,8,0.497308180153211,-1.0,0.002217419388493197,0.0001,-1.0
EURGBP,2024-08-21 08:00:00+00:00,P20,1.3183047097029117,55.16735784560393,,30.350122290682002,-0.65776051350658,1.4808696552336067,-0.0038593312895420784,8,0.18486098340828952,-1.0,0.0011833172949925008,0.0001,-1.0
USDCAD,2024-08-22 08:00:00+00:00,EMA20,2.048613985874718,30.49514999251285,,39.52232582703406,-0.9727773509322662,0.6695828448226154,-0.005709529733491037,8,0.41661040060698257,-1.0,0.002269889568727676,0.0001,-1.0
USDCHF,2024-08-22 08:00:00+00:00,P20,7.230378595123998,23.263073028262028,,38.924792386157826,-1.0715210973167317,1.2150477045241468,-0.001046454915798578,8,1.1183689605152614,-1.0,0.002611206232536195,0.0001,-1.0
USDCAD,2024-08-22 08:00:00+00:00,VWAP,0.5461660414422265,30.49514999251285,,39.52232582703406,-0.9727773509322662,0.6695828448226154,-0.005709529733491037,8,0.41661040060698257,-1.0,0.002269889568727676,0.0001,-1.0
USDJPY,2024-08-22 08:00:00+00:00,P20,3.7733058267906037,38.63070592939416,,32.66217287647292,-0.37601531347919426,0.9431760035932499,-0.04272359048809449,8,0.8253099775046374,-1.0,0.7325121356307432,0.01,-1.0
USDCAD,2024-08-22 08:00:00+00:00,PD,2.3084662812170453,30.49514999251285,,39.52232582703406,-0.9727773509322662,0.6695828448226154,-0.005709529733491037,8,0.41661040060698257,-1.0,0.002269889568727676,0.0001,-1.0
EURGBP,2024-08-22 08:00:00+00:00,PD,4.451399619699531,26.610855447995277,,37.46658558268201,-1.012846285818459,1.8268775857659247,-0.004180894161889048,8,0.26548984036306655,-1.0,0.0013748409556118676,0.0001,-1.0
USDCHF,2024-08-22 08:00:00+00:00,PD,2.7841684955071417,23.263073028262028,,38.924792386157826,-1.0715210973167317,1.2150477045241468,-0.001046454915798578,8,1.1183689605152614,-1.0,0.002611206232536195,0.0001,-1.0
EURGBP,2024-08-22 08:00:00+00:00,P20,4.451399619699531,26.610855447995277,,37.46658558268201,-1.012846285818459,1.8268775857659247,-0.004180894161889048,8,0.26548984036306655,-1.0,0.0013748409556118676,0.0001,-1.0
USDJPY,2024-08-22 08:00:00+00:00,EMA20,0.9767353576187275,38.63070592939416,,32.66217287647292,-0.37601531347919426,0.9431760035932499,-0.04272359048809449,8,0.8253099775046374,-1.0,0.7325121356307432,0.01,-1.0
USDJPY,2024-08-22 08:00:00+00:00,VWAP,0.2645270545336918,38.63070592939416,,32.66217287647292,-0.37601531347919426,0.9431760035932499,-0.04272359048809449,8,0.8253099775046374,-1.0,0.7325121356307432,0.01,-1.0
USDJPY,2024-08-22 08:00:00+00:00,PD,2.2620753978871266,38.63070592939416,,32.66217287647292,-0.37601531347919426,0.9431760035932499,-0.04272359048809449,8,0.8253099775046374,-1.0,0.7325121356307432,0.01,-1.0
EURGBP,2024-08-22 08:00:00+00:00,EMA20,2.855044636267606,26.610855447995277,,37.46658558268201,-1.012846285818459,1.8268775857659247,-0.004180894161889048,8,0.26548984036306655,-1.0,0.0013748409556118676,0.0001,-1.0
EURGBP,2024-08-22 08:00:00+00:00,VWAP,1.4292353809663376,26.610855447995277,,37.46658558268201,-1.012846285818459,1.8268775857659247,-0.004180894161889048,8,0.26548984036306655,-1.0,0.0013748409556118676,0.0001,-1.0
USDCHF,2024-08-22 08:00:00+00:00,VWAP,0.8165156772157143,23.263073028262028,,38.924792386157826,-1.0715210973167317,1.2150477045241468,-0.001046454915798578,8,1.1183689605152614,-1.0,0.002611206232536195,0.0001,-1.0
USDCAD,2024-08-22 08:00:00+00:00,P20,5.017852382044858,30.49514999251285,,39.52232582703406,-0.9727773509322662,0.6695828448226154,-0.005709529733491037,8,0.41661040060698257,-1.0,0.002269889568727676,0.0001,-1.0
USDCHF,2024-08-22 08:00:00+00:00,EMA20,2.7621664804034127,23.263073028262028,,38.924792386157826,-1.0715210973167317,1.2150477045241468,-0.001046454915798578,8,1.1183689605152614,-1.0,0.002611206232536195,0.0001,-1.0
USDCAD,2024-08-23 08:00:00+00:00,P20,2.6999962971293976,38.23298372825759,,31.99332833595785,-0.926035800963301,0.521607845341771,-0.0063591531756506114,8,0.23051140063282383,-1.0,0.0021851975774965504,0.0001,-1.0
USDCHF,2024-08-23 08:00:00+00:00,P20,5.032625624933811,41.18579793483556,,38.87700843597844,-1.0049012632067225,0.8888861508132084,-0.0022881346204658426,8,0.638514291301458,-1.0,0.0023486782392300133,0.0001,-1.0
EURGBP,2024-08-23 08:00:00+00:00,VWAP,0.9923851345643645,10.90221913490339,,49.182315489535064,-1.1766359460053475,1.2572057408277677,-0.004789446368599792,8,0.48869690853722375,-1.0,0.0013251032625061848,0.0001,-1.0
USDCHF,2024-08-23 08:00:00+00:00,VWAP,0.2928439227853301,41.18579793483556,,38.87700843597844,-1.0049012632067225,0.8888861508132084,-0.0022881346204658426,8,0.638514291301458,-1.0,0.0023486782392300133,0.0001,-1.0
EURGBP,2024-08-23 08:00:00+00:00,PD,4.195929955996194,10.90221913490339,,49.182315489535064,-1.1766359460053475,1.2572057408277677,-0.004789446368599792,8,0.48869690853722375,-1.0,0.0013251032625061848,0.0001,-1.0
USDCHF,2024-08-23 08:00:00+00:00,EMA20,1.4178231598866877,41.18579793483556,,38.87700843597844,-1.0049012632067225,0.8888861508132084,-0.0022881346204658426,8,0.638514291301458,-1.0,0.0023486782392300133,0.0001,-1.0
USDCAD,2024-08-23 08:00:00+00:00,PD,1.6703066418586043,38.23298372825759,,31.99332833595785,-0.926035800963301,0.521607845341771,-0.0063591531756506114,8,0.23051140063282383,-1.0,0.0021851975774965504,0.0001,-1.0
EURGBP,2024-08-23 08:00:00+00:00,EMA20,2.9765088642670867,10.90221913490339,,49.182315489535064,-1.1766359460053475,1.2572057408277677,-0.004789446368599792,8,0.48869690853722375,-1.0,0.0013251032625061848,0.0001,-1.0
USDCAD,2024-08-23 08:00:00+00:00,VWAP,0.40548347548067654,38.23298372825759,,31.99332833595785,-0.926035800963301,0.521607845341771,-0.0063591531756506114,8,0.23051140063282383,-1.0,0.0021851975774965504,0.0001,-1.0
USDJPY,2024-08-23 08:00:00+00:00,P20,2.303984921038587,56.66669106131351,,25.787088053448997,-0.325816249420689,0.632070869632042,-0.1188465814946369,8,0.6267341855955161,-1.0,0.694014534920092,0.01,-1.0
USDCAD,2024-08-23 08:00:00+00:00,EMA20,1.1708272183464001,38.23298372825759,,31.99332833595785,-0.926035800963301,0.521607845341771,-0.0063591531756506114,8,0.23051140063282383,-1.0,0.0021851975774965504,0.0001,-1.0
USDJPY,2024-08-23 08:00:00+00:00,PD,1.1224429172919874,56.66669106131351,,25.787088053448997,-0.325816249420689,0.632070869632042,-0.1188465814946369,8,0.6267341855955161,-1.0,0.694014534920092,0.01,-1.0
USDCHF,2024-08-23 08:00:00+00:00,PD,1.119776775779874,41.18579793483556,,38.87700843597844,-1.0049012632067225,0.8888861508132084,-0.0022881346204658426,8,0.638514291301458,-1.0,0.0023486782392300133,0.0001,-1.0
