eid,label,ues,pf_r047,pf_orig_r051,pf_new_r051,pf_comb_r051,gen_score,loo_s_comb,loo_f_comb,boot_comb,mc_comb,mdd_comb,n_comb,score_comb,r050_verdict,r051_class,conditions
E16,Dist>p60 · Wed-Thu · PrevBody>p67 · US(14-21UTC),74.88,1.427,1.3738,1.2824,1.3454,0.933,1.2944,1.133,1.3499,0.9975,-0.1367,351,7,PROMOTE,UNIVERSAL,DST_MD+MIDWK+PBD_HI+US
E11,ADX>p50 · Dist>p75 · Wed-Thu · US(14-21UTC),74.82,1.483,1.5272,1.1244,1.3789,0.736,1.3084,1.0836,1.3805,0.996,-0.0713,277,7,WATCHLIST,UNIVERSAL,ADX_TR+DST_FR+MIDWK+US
E10,ATR<p40 · Dist<p33 · PrevRng>p67 · RealVol<p33,74.54,1.387,1.395,1.3568,1.3777,0.973,1.317,1.0055,1.3768,0.998,-0.1587,340,6,PROMOTE,UNIVERSAL,ATR_MD+DST_NR+PRG_HI+RV_LO
E08,Dist>p60 · Wed-Thu · BodyPct>p60 · US(14-21UTC),74.52,1.453,1.5345,1.1124,1.4175,0.725,1.3318,1.1815,1.4156,0.999,-0.1253,302,7,WATCHLIST,UNIVERSAL,DST_MD+MIDWK+PBP_HI+US
E07,ATR>p67 · Dist>p75 · Wed-Thu · US(14-21UTC),74.3,1.509,1.5161,1.1245,1.3829,0.742,1.3123,1.0584,1.3832,0.9945,-0.0816,277,7,WATCHLIST,UNIVERSAL,ATR_HI+DST_FR+MIDWK+US
E09,ADX>p67 · Dist>p75 · BodyPct>p60 · US(14-21UTC),72.15,1.432,1.4171,1.0891,1.2879,0.769,1.2194,1.1733,1.2869,0.989,-0.1148,350,7,WATCHLIST,UNIVERSAL,ADX_ST+DST_FR+PBP_HI+US
E05,ATR<p40 · PrevRng>p80 · RealVol<p33 · Slope<0,71.84,1.416,1.4356,1.2388,1.3433,0.863,1.2954,0.9466,1.337,0.9885,-0.1475,274,6,WATCHLIST,UNIVERSAL,ATR_MD+PRG_VH+RV_LO+SLP_DN
E15,ADX>p67 · Dist>p75 · Wed-Thu · BodyPct>p60,52.25,1.533,1.3895,0.624,1.0772,0.449,1.0193,0.8623,1.0798,0.7145,-0.2438,263,2,REJECT,ROBUST,ADX_ST+DST_FR+MIDWK+PBP_HI
E06,ATR<p25 · Mon-Tue · BodyPct>p60 · Slope<0,45.91,1.491,1.8115,0.5838,0.9433,0.322,0.8704,0.789,0.9413,0.349,-0.2851,176,0,REJECT,ROBUST,ATR_LO+EARLY+PBP_HI+SLP_DN
