name,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf
rr04_raw,416,14.344827586206897,0.8028846153846154,1.6292682926829265,1.119347958379243,-0.08536492786084608,0.6206896551724138,2,1.6771929824561402,1.5199999999999994
rr04_vc80,345,11.89655172413793,0.8115942028985508,1.723076923076923,1.1636828095674985,-0.07586642393786741,0.5862068965517241,3,1.7909090909090906,1.5809523809523807
rr04_vc90,380,13.10344827586207,0.8078947368421052,1.6821917808219176,1.1459654782480964,-0.07216988963361881,0.5862068965517241,3,1.746938775510204,1.5499999999999996
rr04_br40,190,7.3076923076923075,0.8473684210526315,2.2206896551724133,1.5341884624240147,-0.06806565898581289,0.6538461538461539,3,2.48,1.6444444444444448
rr04_vc80_br40,161,6.1923076923076925,0.84472049689441,2.1759999999999997,1.4878763118244065,-0.05865218079375045,0.6538461538461539,3,2.3555555555555556,1.7142857142857149
rr04_vc90_br40,176,6.769230769230769,0.8522727272727273,2.307692307692307,1.5885377850165767,-0.05865218079375045,0.6538461538461539,3,2.533333333333333,1.8000000000000003
rr05_raw,414,14.275862068965518,0.7681159420289855,1.65625,1.2115350818679218,-0.11895370958765165,0.5517241379310345,3,1.644927536231884,1.6851851851851851
rr05_vc80,345,11.89655172413793,0.782608695652174,1.8,1.29912226310067,-0.11408192612486141,0.5517241379310345,4,1.8173076923076923,1.7608695652173914
rr05_vc90,378,13.03448275862069,0.7777777777777778,1.75,1.2713925150014453,-0.10965233575548557,0.5517241379310345,4,1.7672413793103448,1.7115384615384615
rr05_vc80_br40,161,6.1923076923076925,0.8198757763975155,2.2758620689655173,1.660302356682605,-0.08198425216267813,0.6538461538461539,6,2.3181818181818183,2.142857142857143
