family,variant,n,wr,pf,exp,mdd,calmar,net,boot_p5,boot_med,d_p5,d_med,d_p95
FamilyA,E0_base,390,0.36153846153846153,1.1325301204819278,8.461538461538462,-0.42194307874804093,0.7961789895204836,3359.422140727771,0.9545454545454546,1.1325301204819278,0.0,0.0,0.0
FamilyA,E1_be1r,392,0.17091836734693877,0.7613636363636364,-10.714285714285715,-0.4343371238209951,-0.8226415455916589,-3573.037628479391,0.5979381443298969,0.7570621468926554,-0.5076215900027976,-0.3605997639712572,-0.23109535637733997
FamilyA,E2_partial,392,0.17091836734693877,0.5710227272727273,-19.260204081632654,-0.5725234505073891,-0.9389985054486686,-5375.986643607531,0.4435483870967742,0.5706021605761536,-0.6951898545404489,-0.5573653783464407,-0.43201988565343363
FamilyA,E3_trail,393,0.34096692111959287,0.544379899115849,-16.106541026646507,-0.48244238027832825,-0.9825474917358025,-4740.225506495216,0.4251192068762853,0.5430994230307988,-0.7699161404621468,-0.5915080451879573,-0.42213027837146366
FamilyA,E4_time24,390,0.3769230769230769,1.1705275563920994,10.6089386436511,-0.40087688324004944,1.1304523565033249,4531.722173264221,0.9846060131041857,1.1664065083103532,0.008481980796738531,0.03671026606394584,0.07344039388798473
FamilyA,E5_widesl,387,0.35400516795865633,1.096,6.2015503875969,-0.5683493783184359,0.3903621105810325,2218.6206286780234,0.9207547169811321,1.096,-0.20166231908677845,-0.0528688524590164,0.10407516941043925
FamilyA,E6_sigentry,395,0.4278481012658228,1.4955752212389382,28.354430379746837,-0.3840476091140854,5.027445871046334,19307.78566725825,1.2644628099173554,1.4955752212389382,0.15439292801731908,0.3381584872535319,0.5461909562211982
FamilyC,E0_base,10375,0.23633734939759035,0.9264076811853006,-5.61997052500109,-0.9997215724058856,-0.9996082986643717,-9993.299801307177,0.8913385618867816,0.926500013133878,0.0,0.0,0.0
FamilyC,E1_be1r,11210,0.10035682426404996,0.5882983627590378,-21.036815148226868,-0.999999999976768,-0.9999999999970476,-9999.999999738156,0.55737863334677,0.5875979643730295,-0.36612085652488907,-0.33767054390142137,-0.3096242083272796
FamilyC,E2_partial,11210,0.10035682426404996,0.39235099702197695,-31.049183666887743,-0.9999999999999997,-0.9999999999999998,-9999.999999999995,0.3707698893584975,0.39254533724604357,-0.5592347233578256,-0.5327666049449515,-0.5073742809203798
FamilyC,E3_trail,11755,0.32666950233943004,0.5690954532329496,-16.430005600550285,-0.9999999971329898,-0.9999999999564181,-9999.99997089408,0.5435740012114534,0.5690992302185734,-0.3997086955044198,-0.36890631158836384,-0.33596710357407744
FamilyC,E4_time24,10518,0.2692527096406161,0.938179946849931,-4.466144284238768,-0.9989246875086528,-0.9987523695129149,-9976.78398614215,0.9041640590761348,0.9391872064209581,-0.004004928951223818,0.0065657058335400476,0.01762386815054006
FamilyC,E5_widesl,9164,0.22675687472719336,0.875606871502455,-9.618613144190354,-0.9999786536666577,-0.9999795295052567,-9999.581836088844,0.8385470417413102,0.8760572342734638,-0.06864909727434293,-0.03890625425932098,-0.010294066374746832
FamilyC,E6_sigentry,10895,0.2385497934832492,0.9384449129447412,-4.687113375038343,-0.9995292665676472,-0.9992000983585348,-9987.297414666273,0.9036921231646438,0.9388239286225543,-0.022463386834203774,0.008407988306287306,0.04059727735909259
