risk,net,mdd_pct,mdd_usd,final
0.005,35.18907146345069,-0.053786894908423796,-5.37868949084238,135.1890714634507
0.01,81.49936256038774,-0.10519528783120331,-10.51952878312033,181.49936256038774
0.015,142.01485530331743,-0.15429693050401516,-15.429693050401516,242.01485530331743
0.02,220.5400879341238,-0.2011636585787311,-20.116365857873113,320.5400879341238
0.025,321.7301778161309,-0.2458671941657741,-24.58671941657741,421.7301778161309
