sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
BNB-USDT-SWAP,F2,2026-03-23T02:00:00.000,2026-03-23T06:00:00.000,-129.2463,-1.0486,0,SL
BNB-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,176.8333,2.0,1,TP
BNB-USDT-SWAP,F2,2026-03-30T02:00:00.000,2026-03-30T08:00:00.000,180.1667,2.0,1,TP
BNB-USDT-SWAP,F4,2026-05-29T16:00:00.000,2026-05-30T00:00:00.000,178.9722,2.0,1,TP
BNB-USDT-SWAP,F5,2026-06-28T21:00:00.000,2026-06-28T22:00:00.000,-129.9794,-1.0499,0,SL
BNB-USDT-SWAP,F5,2026-06-29T17:00:00.000,2026-06-30T08:00:00.000,-120.9863,-1.0349,0,SL
BNB-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-24T19:00:00.000,175.0976,2.0,1,TP
DOT-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,188.821,2.0,1,TP
DOT-USDT-SWAP,F1,2026-02-19T15:00:00.000,2026-02-19T16:00:00.000,-117.2681,-1.0287,0,SL
DOT-USDT-SWAP,F2,2026-03-25T15:00:00.000,2026-03-25T20:00:00.000,-115.9323,-1.0265,0,SL
DOT-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,187.1437,2.0,1,TP
DOT-USDT-SWAP,F2,2026-03-31T13:00:00.000,2026-03-31T14:00:00.000,188.6554,2.0,1,TP
DOT-USDT-SWAP,F3,2026-04-15T17:00:00.000,2026-04-16T04:00:00.000,189.3654,2.0,1,TP
DOT-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-117.9475,-1.0298,0,SL
DOT-USDT-SWAP,F5,2026-06-30T15:00:00.000,2026-07-01T01:00:00.000,-118.9331,-1.0315,0,SL
ARB-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,187.9313,2.0,1,TP
ARB-USDT-SWAP,F4,2026-05-20T15:00:00.000,2026-05-20T16:00:00.000,-116.8923,-1.0281,0,SL
ARB-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-115.5864,-1.0259,0,SL
ARB-USDT-SWAP,F5,2026-06-27T13:00:00.000,2026-06-27T18:00:00.000,-114.8561,-1.0247,0,SL
ARB-USDT-SWAP,F5,2026-06-29T00:00:00.000,2026-06-29T03:00:00.000,189.3283,2.0,1,TP
ARB-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-24T16:00:00.000,-117.8195,-1.0296,0,SL
OP-USDT-SWAP,F1,2026-02-13T15:00:00.000,2026-02-13T16:00:00.000,190.167,2.0,1,TP
OP-USDT-SWAP,F2,2026-03-09T04:00:00.000,2026-03-09T05:00:00.000,191.605,2.0,1,TP
OP-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,189.993,2.0,1,TP
OP-USDT-SWAP,F4,2026-05-20T15:00:00.000,2026-05-21T02:00:00.000,188.2572,2.0,1,TP
NEAR-USDT-SWAP,F1,2026-02-24T16:00:00.000,2026-02-25T01:00:00.000,189.8489,2.0,1,TP
NEAR-USDT-SWAP,F2,2026-03-22T01:00:00.000,2026-03-22T11:00:00.000,-117.1965,-1.0286,0,SL
NEAR-USDT-SWAP,F3,2026-04-29T17:00:00.000,2026-04-29T18:00:00.000,-120.5461,-1.0341,0,SL
NEAR-USDT-SWAP,F5,2026-06-27T15:00:00.000,2026-06-27T19:00:00.000,-112.9991,-1.0216,0,SL
ATOM-USDT-SWAP,F2,2026-03-06T13:00:00.000,2026-03-06T14:00:00.000,-118.4318,-1.0306,0,SL
ATOM-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,182.964,2.0,1,TP
ATOM-USDT-SWAP,F4,2026-06-22T02:00:00.000,2026-06-22T05:00:00.000,183.0131,2.0,1,TP
ATOM-USDT-SWAP,F5,2026-07-01T15:00:00.000,2026-07-01T16:00:00.000,187.5563,2.0,1,TP
ATOM-USDT-SWAP,F5,2026-07-29T23:00:00.000,2026-07-30T03:00:00.000,-118.9905,-1.0316,0,SL
SUI-USDT-SWAP,F1,2026-02-19T15:00:00.000,2026-02-19T16:00:00.000,-114.9028,-1.0247,0,SL
SUI-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.0989,2.0,1,TP
SUI-USDT-SWAP,F3,2026-05-16T08:00:00.000,2026-05-16T09:00:00.000,-113.3528,-1.0222,0,SL
SUI-USDT-SWAP,F4,2026-05-27T15:00:00.000,2026-05-27T17:00:00.000,-114.6712,-1.0244,0,SL
SUI-USDT-SWAP,F4,2026-05-29T16:00:00.000,2026-05-29T18:00:00.000,-112.4414,-1.0206,0,SL
SUI-USDT-SWAP,F4,2026-06-22T02:00:00.000,2026-06-22T03:00:00.000,-116.2341,-1.027,0,SL
SUI-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-114.1699,-1.0235,0,SL
APT-USDT-SWAP,F1,2026-02-14T16:00:00.000,2026-02-14T19:00:00.000,189.598,2.0,1,TP
APT-USDT-SWAP,F1,2026-02-17T14:00:00.000,2026-02-17T15:00:00.000,-113.1561,-1.0218,0,SL
APT-USDT-SWAP,F5,2026-06-29T01:00:00.000,2026-06-29T12:00:00.000,190.9816,2.0,1,TP
APT-USDT-SWAP,F5,2026-06-29T15:00:00.000,2026-06-30T00:00:00.000,-111.914,-1.0198,0,SL
APT-USDT-SWAP,F5,2026-07-29T05:00:00.000,2026-07-29T12:00:00.000,-117.574,-1.0292,0,SL
WIF-USDT-SWAP,F1,2026-03-11T14:00:00.000,2026-03-11T15:00:00.000,-110.6058,-1.0176,0,SL
WIF-USDT-SWAP,F4,2026-06-10T13:00:00.000,2026-06-10T17:00:00.000,-111.5683,-1.0192,0,SL
WIF-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-112.3749,-1.0205,0,SL
WIF-USDT-SWAP,F5,2026-07-10T17:00:00.000,2026-07-10T18:00:00.000,-112.585,-1.0209,0,SL
PEPE-USDT-SWAP,F1,2026-02-08T13:00:00.000,2026-02-08T15:00:00.000,-111.9934,-1.0199,0,SL
PEPE-USDT-SWAP,F2,2026-03-22T01:00:00.000,2026-03-22T18:00:00.000,-116.2896,-1.0271,0,SL
PEPE-USDT-SWAP,F4,2026-06-10T14:00:00.000,2026-06-10T15:00:00.000,-112.8644,-1.0213,0,SL
PEPE-USDT-SWAP,F5,2026-06-29T15:00:00.000,2026-06-29T17:00:00.000,191.4565,2.0,1,TP
PEPE-USDT-SWAP,F5,2026-07-01T15:00:00.000,2026-07-01T16:00:00.000,191.1273,2.0,1,TP
ENA-USDT-SWAP,F3,2026-06-28T23:00:00.000,2026-06-29T02:00:00.000,192.083,2.0,1,TP
UNI-USDT-SWAP,F1,2026-02-08T13:00:00.000,2026-02-08T15:00:00.000,-113.8316,-1.023,0,SL
UNI-USDT-SWAP,F2,2026-03-22T01:00:00.000,2026-03-22T08:00:00.000,-120.3175,-1.0338,0,SL
UNI-USDT-SWAP,F2,2026-03-23T08:00:00.000,2026-03-23T09:00:00.000,-118.5975,-1.0309,0,SL
UNI-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.8226,2.0,1,TP
UNI-USDT-SWAP,F2,2026-04-03T17:00:00.000,2026-04-03T23:00:00.000,-115.8622,-1.0263,0,SL
UNI-USDT-SWAP,F4,2026-06-02T03:00:00.000,2026-06-02T06:00:00.000,-115.9426,-1.0265,0,SL
UNI-USDT-SWAP,F4,2026-06-10T14:00:00.000,2026-06-10T16:00:00.000,-114.2142,-1.0236,0,SL
FIL-USDT-SWAP,F1,2026-02-24T18:00:00.000,2026-02-25T01:00:00.000,189.9418,2.0,1,TP
FIL-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,189.5374,2.0,1,TP
FIL-USDT-SWAP,F5,2026-06-29T15:00:00.000,2026-06-29T17:00:00.000,191.5171,2.0,1,TP
FIL-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-25T19:00:00.000,186.4361,2.0,1,TP
AAVE-USDT-SWAP,F1,2026-03-20T16:00:00.000,2026-03-20T22:00:00.000,189.2518,2.0,1,TP
AAVE-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T08:00:00.000,-120.6254,-1.0343,0,SL
AAVE-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,187.2421,2.0,1,TP
AAVE-USDT-SWAP,F1,2026-03-30T02:00:00.000,2026-03-30T08:00:00.000,188.4642,2.0,1,TP
AAVE-USDT-SWAP,F1,2026-03-31T17:00:00.000,2026-04-01T06:00:00.000,190.4565,2.0,1,TP
AAVE-USDT-SWAP,F3,2026-05-20T16:00:00.000,2026-05-20T22:00:00.000,-120.2589,-1.0337,0,SL
AAVE-USDT-SWAP,F3,2026-05-22T21:00:00.000,2026-05-22T23:00:00.000,-116.6616,-1.0277,0,SL
ALGO-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T10:00:00.000,-122.0314,-1.0366,0,SL
ALGO-USDT-SWAP,F5,2026-07-29T05:00:00.000,2026-07-29T15:00:00.000,-119.8547,-1.033,0,SL
CHZ-USDT-SWAP,F1,2026-03-22T23:00:00.000,2026-03-23T07:00:00.000,-123.8867,-1.0397,0,SL
CHZ-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-24T16:00:00.000,-126.7877,-1.0446,0,SL
CHZ-USDT-SWAP,F5,2026-07-27T14:00:00.000,2026-07-27T15:00:00.000,-133.567,-1.0559,0,SL
COMP-USDT-SWAP,F3,2026-05-29T17:00:00.000,2026-05-29T18:00:00.000,-121.0074,-1.0349,0,SL
CRV-USDT-SWAP,F1,2026-03-23T13:00:00.000,2026-03-23T15:00:00.000,-112.2575,-1.0203,0,SL
CRV-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,188.5387,2.0,1,TP
CRV-USDT-SWAP,F3,2026-05-29T16:00:00.000,2026-05-29T19:00:00.000,-115.0156,-1.0249,0,SL
EGLD-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,182.0952,2.0,1,TP
EGLD-USDT-SWAP,F4,2026-06-10T13:00:00.000,2026-06-10T18:00:00.000,-115.9703,-1.0265,0,SL
EGLD-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-120.9306,-1.0348,0,SL
ETC-USDT-SWAP,F1,2026-03-09T04:00:00.000,2026-03-09T13:00:00.000,186.9452,2.0,1,TP
ETC-USDT-SWAP,F1,2026-03-22T23:00:00.000,2026-03-23T02:00:00.000,181.1921,2.0,1,TP
ETC-USDT-SWAP,F3,2026-05-29T16:00:00.000,2026-05-29T18:00:00.000,-117.6352,-1.0293,0,SL
FET-USDT-SWAP,F4,2026-06-20T15:00:00.000,2026-06-20T17:00:00.000,-112.4667,-1.0207,0,SL
FET-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-112.8245,-1.0213,0,SL
GALA-USDT-SWAP,F1,2026-03-28T23:00:00.000,2026-03-29T00:00:00.000,-116.9703,-1.0282,0,SL
GALA-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,189.3656,2.0,1,TP
GALA-USDT-SWAP,F3,2026-05-31T16:00:00.000,2026-05-31T21:00:00.000,186.7919,2.0,1,TP
