portfolio_rank,conditions,pf,n,ues,family,indep_e31,diversity
1,RV_HI+DST_MD+ADX_WK+LON,2.188432408218968,25,94.8,Trend Expansion,93.6,74.7
2,RV_HI+DST_FR+ADX_WK+LON,2.2402520613901857,16,94.8,Trend Expansion,93.9,69.9
3,ATR_VH+RV_HI+PRG_LO+LON,1.9735519231925713,24,94.1,Pullback Continuation,92.9,72.7
4,ATR_MD+RV_LO+DST_FR+LON,1.9772051691247936,16,92.2,Quiet Trend Continuation,93.3,73.1
5,ATR_MD+DST_FR+ADX_TR+LON,1.718352299145649,17,86.1,Quiet Trend Continuation,93.3,72.5
