strategy,rr,pf,wr,n,mdd,exp,rf,calmar_v,boot_med,boot_p5,boot_p95,ci_lo,ci_hi,p_better
Family A,1.0,1.6764705882352942,0.6263736263736264,91,-0.1076923076923077,25.274725274725274,1.7142857142857142,2.2510822510822512,1.6764705882352942,1.1666666666666667,2.3703703703703702,-3.6670000000000003,-0.19540229885057503,0.0155
Family A,1.25,2.0955882352941178,0.6263736263736264,91,-0.09269162210338681,40.934065934065934,2.9423076923076925,4.168269230769231,2.0955882352941178,1.524390243902439,3.125,-3.40625,0.3355263157894739,0.063
Family A,1.5,2.514705882352941,0.6263736263736264,91,-0.07973421926910298,56.59340659340659,4.375,6.650883838383838,2.514705882352941,1.75,3.75,-2.911472448057814,1.0055555555555555,0.1735
Family A,1.75,2.9338235294117645,0.6263736263736264,91,-0.07418856259659969,72.25274725274726,5.5625,9.08822601010101,2.9338235294117645,2.0416666666666665,4.148148148148148,-2.445945945945946,1.5332747140522835,0.3435
Family A,2.0,3.3529411764705883,0.6263736263736264,91,-0.06936416184971098,87.91208791208791,6.75,11.795454545454547,3.3529411764705883,2.4390243902439024,5.0,-2.1666666666666665,2.167268518518515,0.4685
Family A,2.25,3.7720588235294117,0.6263736263736264,91,-0.06512890094979647,103.57142857142857,7.9375,14.772569444444446,3.7720588235294117,2.625,5.333333333333333,-1.7666666666666666,2.8943089430894307,0.6625
Family A,2.5,4.1911764705882355,0.6263736263736264,91,-0.061381074168797956,119.23076923076923,9.125,18.019570707070706,4.1911764705882355,2.9166666666666665,6.25,-1.5448578042328043,3.3926308139534873,0.759
Family A,2.75,4.610294117647059,0.6263736263736264,91,-0.05804111245465538,134.8901098901099,10.3125,21.536458333333332,4.610294117647059,3.2083333333333335,6.875,-1.2242216435185187,3.9911221590909003,0.833
Family A,3.0,5.029411764705882,0.6263736263736264,91,-0.05504587155963303,150.54945054945054,11.5,25.323232323232325,5.029411764705882,3.658536585365854,7.111111111111111,-0.6666367302052787,4.705916666666665,0.908
Family C (ADX+PBD),1.0,0.845945945945946,0.4582723279648609,2049,-1.6728971962616823,-8.345534407027818,-0.9497206703910615,-1.026465775069127,0.845945945945946,0.7879581151832461,0.9095992544268406,-1.0055810263477665,-0.6836528928214255,0.0
Family C (ADX+PBD),1.25,1.0574324324324325,0.4582723279648609,2049,-0.3669064748201439,3.111273792093704,0.7685459940652819,1.7825807090512975,1.0574324324324325,0.9829991281604185,1.1392257462686568,-0.8026214456719417,-0.46275911792509605,0.0
Family C (ADX+PBD),1.5,1.268918918918919,0.4582723279648609,2049,-0.24757281553398058,14.568081991215227,3.586826347305389,12.219647454941573,1.2714156898106401,1.1795989537925022,1.361731843575419,-0.5987944089790487,-0.23765338554116366,0.0
Family C (ADX+PBD),1.75,1.4804054054054054,0.4582723279648609,2049,-0.22850678733031674,26.024890190336748,6.45619335347432,23.616211621162115,1.4804054054054054,1.3787903054633759,1.5949160447761195,-0.39861053861231716,-0.013278485568290288,0.021
Family C (ADX+PBD),2.0,1.691891891891892,0.4582723279648609,2049,-0.211864406779661,37.48169838945827,9.378048780487806,36.663434343434346,1.691891891891892,1.5727986050566696,1.826330532212885,-0.20678095654764875,0.20243960736981945,0.4885
Family C (ADX+PBD),2.25,1.9033783783783784,0.4582723279648609,2049,-0.19721115537848605,48.9385065885798,12.353846153846154,51.41133557800225,1.9033783783783784,1.7797628313280607,2.0465983224603916,-0.0077066729736751435,0.42413657532151466,0.9715
Family C (ADX+PBD),2.5,2.114864864864865,0.4582723279648609,2049,-0.18421052631578946,60.39531478770132,15.385093167701863,67.91197691197692,2.1190261496844003,1.969895287958115,2.2739981360671018,0.18608960343687211,0.669802340029336,0.9995
Family C (ADX+PBD),2.75,2.3263513513513514,0.4582723279648609,2049,-0.17259786476868327,71.85212298682283,18.473354231974923,86.21956680204103,2.3195017006197025,2.1625980819529205,2.501397949673812,0.39477609555322746,0.8993987881723334,1.0
Family C (ADX+PBD),3.0,2.537837837837838,0.4582723279648609,2049,-0.16216216216216217,83.30893118594436,21.620253164556964,106.39057239057239,2.537837837837838,2.363874345549738,2.723463687150838,0.5915734677536284,1.1140687175218205,1.0
