cfg,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf,holpf_c
C1_vwap+prevlow,273,60.666666666666664,0.3992673992673993,0.9969512195121951,0.39887899231475044,-0.20137686179733047,0.4,1.0,0.967741935483871,1.0147058823529411,0.45571648417837013
C2_vwap+sesslow,7,1.5555555555555556,0.42857142857142855,1.125,0.31767222344289076,-0.029700999999999898,0.5,1.0,4.5,0.0,0.0
C3_sesslow+brd,0,0.0,,,,0.0,,,,,
C4_prevlow+atr,310,68.88888888888889,0.3161290322580645,0.6933962264150944,0.2229987169903793,-0.5430774246714916,0.2,4.0,0.7987012987012987,0.6333333333333333,0.21954836140712383
C5_2day+brd,661,146.88888888888889,0.4114977307110439,1.0488431876606683,0.46367973783801625,-0.29343427659307686,0.8,1.0,1.1136363636363635,1.0155642023346303,0.4891350776305152
C6_vwap+hour,992,220.44444444444446,0.42036290322580644,1.0878260869565217,0.40414929647359576,-0.38160681079084663,0.6,1.0,0.9573170731707317,1.1854103343465046,0.4599771798046299
C7_sesslow+hour,73,16.22222222222222,0.4931506849315068,1.4594594594594594,0.6200852588901105,-0.07897822450844838,0.6,2.0,0.7105263157894737,2.25,1.0000118528548338
C8_prevlow+green,519,115.33333333333333,0.3892100192678227,0.9558359621451105,0.39636285998229853,-0.2791182592731787,0.6,1.0,1.0862068965517242,0.8805970149253731,0.3992588412670718
C9_2day+green,735,163.33333333333334,0.3768707482993197,0.9072052401746725,0.42304709963125053,-0.5296678567300745,0.4,3.0,0.9375,0.8921568627450981,0.4473216480322932
C10_vwap+sesslow+brd,0,0.0,,,,0.0,,,,,
