fold,n,wr,pf,net,mdd,start,end,loo_pf
F1,6,0.6666666666666666,3.4574857411293274,536.7343000000001,-0.010965040000000044,2026-03-02,2026-03-05,1.9133583816904771
F2,3,0.6666666666666666,3.656463643620697,282.5258,-0.010237301905858058,2026-04-05,2026-04-27,2.0489895265433877
F3,7,0.2857142857142857,0.6607555236616827,-197.2747,-0.04669866000000002,2026-04-17,2026-05-25,3.566763374249034
F4,6,0.5,1.8263219437931715,264.2233,-0.010635369999999967,2026-06-03,2026-06-30,2.3161949163492404
F5,3,1.0,10.0,570.8477,0.0,2026-07-01,2026-07-14,1.722826610916092
