sym,fold,entry_ts,exit_ts,pnl,win,sl_hit,tp_hit,timeout,bars_held,session,dow,rel_vol,entry_price,stop_loss,take_profit,atr_at_entry,mfe_r,mae_r,adx,bb_width,real_vol,ema_dist,ema_slope,body_pct,range_pct,hurst,atr_rank,month_label,year_label
ALGO-USDT-SWAP,F2,2026-04-05 14:00:00+00:00,2026-04-05 21:00:00+00:00,193.79,1,0,1,0,7,US,6,1.2470374616217523,0.11863,0.11629244756557376,0.12330510486885246,0.002337552434426234,1.3090615444316651,0.7785921604136032,17.344918564425555,0.05494702475768625,1.0233445218701591,12.700591799761831,0.01212887629869868,0.26041666666666624,1.6253280284432448,1.3097248132926014,7.000000000000001,2026-04,2026
ARB-USDT-SWAP,F1,2026-03-02 15:00:00+00:00,2026-03-02 17:00:00+00:00,-109.6504,0,1,0,0,2,US,0,3.3390924681213714,0.10569,0.10374306053673504,0.10958387892652993,0.0019469394632649593,0.7601674463560756,1.366246896829172,17.597397632944432,0.08953244200476637,1.367320608515543,6.027087743036167,0.0017783167127999081,0.017456359102244544,3.796629426245029,1.2657340951365303,74.0,2026-03,2026
ARB-USDT-SWAP,F5,2026-07-11 14:00:00+00:00,2026-07-11 15:00:00+00:00,192.7411,1,0,1,0,1,US,5,4.605236981628126,0.09397,0.09239043009525123,0.09712913980949753,0.001579569904748766,1.3168141490583973,0.0,21.156828875418483,0.07102990487207196,1.3744086892653695,16.061382322103135,0.010799688302241735,0.784263959390862,4.05934473521533,1.3338567854100905,62.0,2026-07,2026
AXS-USDT-SWAP,F2,2026-04-27 14:00:00+00:00,2026-04-27 17:00:00+00:00,195.0899,1,0,1,0,3,US,0,2.153899566868686,1.404,1.3688274026835925,1.4743451946328145,0.03517259731640736,1.2794050890011592,0.28431224200025673,13.140004221260405,0.08092372490991659,1.3297941667108266,13.186447048722307,0.010178015446669462,0.425925925925928,3.7841625788367237,0.6611183153304321,49.0,2026-04,2026
BCH-USDT-SWAP,F5,2026-07-01 14:00:00+00:00,2026-07-01 15:00:00+00:00,191.6411,1,0,1,0,1,US,2,3.923837942768882,207.9,204.87193149532266,213.9561370093547,3.0280685046773557,1.7502906528743571,0.16512175970512813,19.068931040874077,0.07427752834685183,1.1407794719921809,8.194407528844074,0.0040620702884563,0.8767123287671261,3.4064395706952784,-0.6277174414942637,100.0,2026-07,2026
BNB-USDT-SWAP,F1,2026-03-02 15:00:00+00:00,2026-03-02 16:00:00+00:00,187.4339,1,0,1,0,1,US,0,4.240485683687726,633.7,627.5901417188977,645.9197165622047,6.109858281102334,1.5712312067356078,0.016366991736833026,16.708155315988538,0.04888398937915431,0.7742726373835678,4.906689083051494,0.0012860732960084111,0.7874999999999943,2.4756305121460622,-0.9919341683272694,100.0,2026-03,2026
BNB-USDT-SWAP,F1,2026-03-04 09:00:00+00:00,2026-03-04 19:00:00+00:00,187.0698,1,0,1,0,10,London,2,2.9612775463035246,651.0,644.9017468896208,663.1965062207585,6.098253110379236,1.2134622597748805,0.90189762550836,18.04595872827423,0.042167887068727865,0.5679247833841439,4.70076125336126,0.0024814151123715455,0.0784313725490148,0.782929075836663,-1.0268551265430166,72.0,2026-03,2026
BTC-USDT-SWAP,F1,2026-03-04 08:00:00+00:00,2026-03-04 09:00:00+00:00,189.1255,1,0,1,0,1,London,2,2.6809300540291314,69456.8,68681.79010842787,71006.81978314427,775.0098915721317,1.5619800639503543,0.46038122078187016,18.458363135320184,0.05198356031151883,0.7951732557013005,5.825253152738958,0.0023411778028911644,0.7374927842986286,2.9283038854823054,-2.194687116940471,96.0,2026-03,2026
BTC-USDT-SWAP,F3,2026-04-17 09:00:00+00:00,2026-04-17 10:00:00+00:00,-129.0649,0,1,0,0,1,London,4,3.2821502833859117,75739.3,75272.21873711715,76673.46252576573,467.0812628828609,0.6515996769417061,1.5035927488620713,16.964814798912435,0.024279079773854878,0.451013533007094,3.7428627167762443,0.002840417561690113,0.003766693299854912,1.1567814513573542,-2.2018291341399783,53.0,2026-04,2026
CHZ-USDT-SWAP,F3,2026-05-08 08:00:00+00:00,2026-05-08 09:00:00+00:00,-111.3515,0,1,0,0,1,London,4,3.08717258600002,0.04634,0.045612947947455275,0.047794104105089455,0.0007270520525447268,0.405748115238079,3.067180667731927,21.764427928202405,0.0790616407669181,1.4376930139799404,8.042314276322623,0.004426098500308458,0.17460317460317337,2.7320034692107487,1.5401681970994678,100.0,2026-05,2026
