sym,fold,strat,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_hrs
ATOM-USDT-SWAP,3,B,2026-01-11 18:00:00+00:00,2026-01-11 19:00:00+00:00,2.615,2.584972,2.585747,2.673505,-115.9693,-1.0265,0,SL,1
ATOM-USDT-SWAP,4,B,2026-04-26 15:00:00+00:00,2026-04-26 16:00:00+00:00,2.03,2.015587,2.016192,2.057617,-126.3395,-1.0438,0,SL,1
APT-USDT-SWAP,3,B,2026-01-04 04:00:00+00:00,2026-01-04 06:00:00+00:00,1.917,1.897724,1.898294,1.954413,-118.3244,-1.0304,0,SL,2
APT-USDT-SWAP,3,B,2026-01-04 16:00:00+00:00,2026-01-04 19:00:00+00:00,1.923,1.904905,1.905476,1.958047,-119.6309,-1.0326,0,SL,3
APT-USDT-SWAP,5,B,2026-05-09 21:00:00+00:00,2026-05-09 23:00:00+00:00,1.1145,1.101406,1.101736,1.140027,-115.5958,-1.0259,0,SL,2
APT-USDT-SWAP,5,B,2026-05-10 09:00:00+00:00,2026-05-10 12:00:00+00:00,1.111,1.099234,1.099564,1.133872,-117.3654,-1.0288,0,SL,3
APT-USDT-SWAP,5,B,2026-05-10 14:00:00+00:00,2026-05-10 16:00:00+00:00,1.1157,1.138891,1.104105,1.138891,188.3335,2.0,1,TP,2
ENA-USDT-SWAP,2,B,2026-04-20 13:00:00+00:00,2026-04-20 14:00:00+00:00,0.11683,0.114885,0.114919,0.120651,-110.886,-1.018,0,SL,1
ENA-USDT-SWAP,3,B,2026-05-10 08:00:00+00:00,2026-05-10 16:00:00+00:00,0.12927,0.133009,0.1274,0.133009,191.5829,2.0,1,TP,8
ENA-USDT-SWAP,3,B,2026-05-10 17:00:00+00:00,2026-05-10 18:00:00+00:00,0.13239,0.136013,0.130579,0.136013,191.1095,2.0,1,TP,1
UNI-USDT-SWAP,1,B,2025-07-20 00:00:00+00:00,2025-07-20 03:00:00+00:00,10.168,10.48938,10.00731,10.48938,192.2867,2.0,1,TP,3
UNI-USDT-SWAP,5,B,2026-07-11 11:00:00+00:00,2026-07-11 12:00:00+00:00,3.577,3.663679,3.533661,3.663679,189.9758,2.0,1,TP,1
UNI-USDT-SWAP,5,B,2026-07-12 19:00:00+00:00,2026-07-12 22:00:00+00:00,3.67,3.621393,3.622479,3.765041,-113.78,-1.0229,0,SL,3
FIL-USDT-SWAP,5,B,2026-07-04 18:00:00+00:00,2026-07-04 19:00:00+00:00,0.8132,0.805024,0.805266,0.829068,-118.327,-1.0304,0,SL,1
