variant,label,atr_threshold,dist_threshold,bb_threshold,n_trades,delta_n,win_rate,profit_factor,expectancy_r,sharpe,max_drawdown,boot_p5,boot_p50,boot_p95,mc_prob_profit,loo_sym_floor,loo_fold_floor,env_bars,criteria_score,verdict
D,Relax BB p50,0.25,0.75,0.5,27,5,0.5926,2.2198,0.7778,1.4601161083988147e+17,-0.0314,1.1852,2.2152,4.4202,0.9815,1.7906,1.5315,369,6,WATCHLIST
A,BASELINE,0.25,0.75,0.33,22,0,0.5455,1.8168,0.6364,1898628049836.6108,-0.0265,0.8742,1.8383,3.9878,0.939,1.5037,1.5166,265,6,WATCHLIST
B,Relax ATR p35,0.35,0.75,0.33,36,14,0.5,1.5297,0.5,23898713.8213,-0.0453,0.8582,1.5284,2.6684,0.878,1.3541,1.1113,444,6,WATCHLIST
F,ATR p35 + BB p50,0.35,0.75,0.5,54,32,0.4815,1.4417,0.4444,375780.9805,-0.068,0.9057,1.4483,2.2789,0.8905,1.2703,1.2152,674,6,WATCHLIST
G,Dist p60 + BB p50,0.25,0.6,0.5,81,59,0.4198,1.0981,0.2593,0.0256,-0.1325,0.7579,1.0915,1.6211,0.6395,0.9838,0.9428,1068,2,REJECT
E,ATR p35 + Dist p60,0.35,0.6,0.33,113,91,0.3894,0.9676,0.1681,-0.0001,-0.1247,0.677,0.9682,1.3229,0.437,0.8818,0.8671,1237,2,REJECT
H,All three relaxed,0.35,0.6,0.5,156,134,0.3654,0.8824,0.0962,-0.0001,-0.2477,0.6657,0.8664,1.1378,0.1995,0.8201,0.7481,1818,2,REJECT
C,Relax EMA_Dist p60,0.25,0.6,0.33,65,43,0.4154,1.0657,0.2462,0.004,-0.124,0.6744,1.0592,1.6267,0.5805,0.9326,0.9957,790,1,REJECT
