cfg,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf
RAW_base,403,14.925925925925926,0.4987593052109181,1.4925742574257426,1.2708585841606894,-0.3105797281002334,0.4827586206896552,3,1.5104166666666667,1.4482758620689655
F1_dailytrend,127,4.703703703703703,0.5905511811023622,2.1634615384615383,1.8714075966086239,-0.0834236199516832,0.5652173913043478,3,2.1847826086956523,2.0
F2_4htrend,42,1.5555555555555556,0.42857142857142855,1.125,0.9577717309032935,-0.08682414553625098,0.5,3,1.0263157894736843,1.5
F3_dailyadx,240,8.88888888888889,0.475,1.3571428571428572,1.1657295171365272,-0.21111777917386118,0.41379310344827586,5,1.516304347826087,0.9264705882352942
F4_dailybr,101,3.740740740740741,0.6435643564356436,2.7083333333333335,2.3758846029086085,-0.11855253132498449,0.5833333333333334,4,2.7,3.0
F5_dt_4h,36,1.3333333333333333,0.4722222222222222,1.3421052631578947,1.1613859573592407,-0.08682414553625098,0.6153846153846154,2,1.0833333333333333,6.0
F6_ml,209,7.7407407407407405,0.6028708133971292,2.2771084337349397,1.9250496056528565,-0.1744487602361572,0.6428571428571429,2,3.629032258064516,1.4711538461538463
F7_betrail,407,15.074074074074074,0.40294840294840295,1.1948418393983842,0.9624093932563792,-0.3204665547347595,0.3448275862068966,7,1.2666409311337012,0.9987145376899149
F8_dt_betrail,129,4.777777777777778,0.46511627906976744,2.500247783418036,2.0484167740029307,-0.1507360052751925,0.391304347826087,5,2.602193770707036,1.7262594450926072
