strategy,regime,n,wr,pf,avg_r,freq
Family A,bear_trend,47,0.2553191489361702,0.6857142857142857,-0.23404255319148937,0.5164835164835165
Family A,ranging,22,0.18181818181818182,0.4444444444444444,-0.45454545454545453,0.24175824175824176
Family A,trending,22,0.13636363636363635,0.3157894736842105,-0.5909090909090909,0.24175824175824176
Family C,bull_trend,1043,0.16874400767018216,0.6089965397923875,-0.3250239693192713,0.5100244498777506
Family C,bear_trend,991,0.16347124117053483,0.586248492159228,-0.34611503531786075,0.4845965770171149
Family C,trending,11,0.2727272727272727,1.125,0.09090909090909091,0.0053789731051344745
