rank,depth,n,win_rate,profit_factor,boot_p5,boot_p50,boot_p95,mc_prob_profit,max_drawdown,sharpe,net_pnl,sym_floor,fold_floor,env_bars,overlap_varg,independent,n_families,score,verdict,conditions,cond_ids
104,3,227,0.4273,1.2006,0.9649,1.2001,1.4846,0.911,-0.1309,2.1393,3066.76,1.1349,1.0801,957,0.0,True,3,7,PROMOTE,RealVol<p33 · ADX<p33 · PrevRng>p80,RV_LO|ADX_WK|PRG_VH
105,4,43,0.4884,1.5438,0.8823,1.5435,2.4884,0.905,-0.0446,18985800.5281,1378.83,1.3962,0.5941,251,0.0,True,3,6,WATCHLIST,BB<p33 · Dist>p60 · Wed-Thu · US(14-21UTC),BB_TG|DST_MD|MIDWK|US
106,4,40,0.475,1.4935,0.8832,1.4893,2.4863,0.857,-0.0501,3433936.9215,1189.4,1.3381,0.863,297,0.0,True,3,6,WATCHLIST,ATR<p25 · Dist<p33 · PrevRng>p67 · RealVol<p33,ATR_LO|DST_NR|PRG_HI|RV_LO
107,4,311,0.4695,1.4659,1.2091,1.4669,1.7818,0.9995,-0.0732,3728.5929,8803.31,1.3974,0.9797,2038,0.0,True,2,6,WATCHLIST,ADX>p50 · Dist>p60 · Wed-Thu · US(14-21UTC),ADX_TR|DST_MD|MIDWK|US
108,4,195,0.4564,1.4183,1.1188,1.4103,1.7819,0.992,-0.063,5832.1317,5004.76,1.3493,0.9883,1146,0.0286,True,2,6,WATCHLIST,Dist>p75 · Wed-Thu · Slope>0 · US(14-21UTC),DST_FR|MIDWK|SLP_UP|US
109,4,40,0.475,1.39,0.8227,1.3917,2.384,0.864,-0.1081,57017.672,982.01,1.1369,0.9215,353,0.2,True,2,6,WATCHLIST,ADX<p33 · ATR<p40 · Dist>p60 · RealVol<p33,ADX_WK|ATR_MD|DST_MD|RV_LO
110,3,65,0.4308,1.2984,0.8239,1.3003,1.8918,0.852,-0.0742,420.6802,1226.12,1.1328,0.6359,522,0.1429,True,2,6,WATCHLIST,Dist>p75 · ADX<p33 · Asia(0-7UTC),DST_FR|ADX_WK|ASIA
111,4,65,0.4308,1.2984,0.8239,1.3003,1.8918,0.852,-0.0742,420.6802,1226.12,1.1328,0.6359,522,0.1429,True,2,6,WATCHLIST,ADX<p33 · Asia(0-7UTC) · Dist>p75 · Slope>0,ADX_WK|ASIA|DST_FR|SLP_UP
112,4,258,0.4341,1.2944,1.0472,1.2935,1.5847,0.977,-0.1195,49.5091,4863.72,1.2356,0.9844,2341,0.0,True,3,6,WATCHLIST,ADX>p67 · ATR>p67 · Dist>p75 · Wed-Thu,ADX_ST|ATR_HI|DST_FR|MIDWK
113,4,270,0.4333,1.2882,1.0596,1.2947,1.5665,0.9815,-0.1332,36.3797,4997.25,1.232,0.9919,2639,0.0,True,2,6,WATCHLIST,ADX>p67 · Dist>p75 · Wed-Thu · Slope>0,ADX_ST|DST_FR|MIDWK|SLP_UP
114,3,271,0.4317,1.2804,1.0462,1.2881,1.5605,0.9755,-0.1332,27.5745,4891.28,1.2242,0.9831,2641,0.0,True,2,6,WATCHLIST,Dist>p75 · ADX>p67 · Wed-Thu,DST_FR|ADX_ST|MIDWK
115,4,394,0.434,1.2709,1.071,1.2697,1.5046,0.986,-0.097,8.4305,6915.64,1.214,0.8506,2699,0.0286,True,2,6,WATCHLIST,Dist>p60 · Wed-Thu · Slope>0 · US(14-21UTC),DST_MD|MIDWK|SLP_UP|US
116,4,73,0.4384,1.2665,0.8533,1.2654,1.877,0.8525,-0.0562,123.2537,1272.61,1.1863,0.8728,376,0.0,True,4,6,WATCHLIST,Mon-Tue · PrevRng>p80 · RealVol<p33 · Slope<0,EARLY|PRG_VH|RV_LO|SLP_DN
117,3,59,0.4407,1.2625,0.8126,1.2584,1.914,0.81,-0.1227,128.9165,1020.22,1.0817,0.9138,638,0.1,True,2,6,WATCHLIST,BB<p33 · Dist>p75 · ADX>p67,BB_TG|DST_FR|ADX_ST
118,4,59,0.4407,1.2625,0.8126,1.2584,1.914,0.81,-0.1227,128.9165,1020.22,1.0817,0.9138,638,0.1,True,2,6,WATCHLIST,ADX>p67 · BB<p33 · Dist>p75 · Slope>0,ADX_ST|BB_TG|DST_FR|SLP_UP
119,3,399,0.4311,1.2567,1.0645,1.2572,1.4734,0.987,-0.1059,5.2652,6666.92,1.2004,0.8401,2709,0.0286,True,2,6,WATCHLIST,Dist>p60 · US(14-21UTC) · Wed-Thu,DST_MD|US|MIDWK
120,4,69,0.4493,1.2529,0.8178,1.2499,1.8825,0.797,-0.1393,74.1893,1154.18,0.984,1.1334,617,0.1857,True,2,6,WATCHLIST,ADX<p33 · BB<p33 · Dist>p60 · RealVol<p33,ADX_WK|BB_TG|DST_MD|RV_LO
121,4,64,0.4375,1.2427,0.8219,1.2454,1.8912,0.819,-0.1071,48.5764,1032.44,1.0634,0.9002,314,0.0,True,3,6,WATCHLIST,ADX>p50 · Dist<p33 · PrevRng>p80 · RealVol<p33,ADX_TR|DST_NR|PRG_VH|RV_LO
122,4,329,0.4377,1.2378,1.0257,1.24,1.4982,0.965,-0.1069,4.8442,5194.88,1.1631,0.9999,2056,0.0,True,3,6,WATCHLIST,ATR<p40 · PrevRng>p67 · RealVol<p33 · Slope<0,ATR_MD|PRG_HI|RV_LO|SLP_DN
123,4,49,0.449,1.2333,0.7475,1.2284,1.9604,0.746,-0.1486,48.3888,782.25,1.0642,0.9334,244,0.0,True,3,6,WATCHLIST,ATR>p67 · Mon-Tue · PrevRng>p80 · RealVol<p33,ATR_HI|EARLY|PRG_VH|RV_LO
124,4,120,0.425,1.2304,0.9049,1.2264,1.6592,0.871,-0.0662,13.5202,1811.78,1.1591,0.9696,438,0.0286,True,2,6,WATCHLIST,Dist>p60 · Eur(8-15UTC) · Wed-Thu · US(14-21UTC),DST_MD|EUR|MIDWK|US
125,4,326,0.4325,1.2212,1.0155,1.2194,1.4586,0.9605,-0.1418,2.6977,4809.98,1.1844,0.9845,1175,0.0,True,3,6,WATCHLIST,PrevBody>p67 · PrevRng>p80 · RealVol<p33 · US(14-21UTC),PBD_HI|PRG_VH|RV_LO|US
126,4,247,0.4211,1.2203,0.9815,1.2236,1.5148,0.934,-0.0915,3.6723,3579.79,1.1692,0.9458,1288,0.0,True,3,6,WATCHLIST,Dist>p60 · Wed-Thu · PrevRng>p67 · US(14-21UTC),DST_MD|MIDWK|PRG_HI|US
127,4,58,0.431,1.2085,0.7702,1.2131,1.867,0.753,-0.1097,9.1983,811.15,1.0126,0.965,361,0.0,True,3,6,WATCHLIST,ATR>p67 · Dist<p33 · PrevRng>p67 · RealVol<p33,ATR_HI|DST_NR|PRG_HI|RV_LO
128,4,109,0.4128,1.2073,0.8709,1.2074,1.677,0.8125,-0.0917,4.8122,1483.7,1.1247,0.9746,584,0.0,True,3,6,WATCHLIST,Dist>p75 · Wed-Thu · PrevRng>p67 · US(14-21UTC),DST_FR|MIDWK|PRG_HI|US
129,4,98,0.4388,1.2011,0.8473,1.2013,1.6699,0.815,-0.0931,5.5597,1345.86,1.1061,0.7992,742,0.0714,True,3,6,WATCHLIST,ADX>p67 · Dist>p60 · RealVol<p33 · US(14-21UTC),ADX_ST|DST_MD|RV_LO|US
130,3,97,0.4227,1.201,0.8471,1.2022,1.7235,0.8265,-0.0839,4.5506,1304.42,1.1194,0.4774,1624,0.0,True,3,6,WATCHLIST,ATR<p40 · ADX>p67 · Mon-Tue,ATR_MD|ADX_ST|EARLY
