rank,depth,n,win_rate,profit_factor,boot_p5,boot_p50,boot_p95,mc_prob_profit,max_drawdown,sharpe,net_pnl,sym_floor,fold_floor,env_bars,overlap_varg,independent,n_families,score,verdict,conditions,cond_ids
45,3,58,0.4655,1.3673,0.8827,1.3657,2.0809,0.877,-0.0571,14226.3246,1350.06,1.251,1.1549,700,0.8286,False,2,7,PROMOTE,ATR<p40 · BB<p50 · Dist>p75,ATR_MD|BB_MD|DST_FR
46,4,58,0.4655,1.3673,0.8827,1.3657,2.0809,0.877,-0.0571,14226.3246,1350.06,1.251,1.1549,700,0.8286,False,2,7,PROMOTE,ATR<p40 · BB<p50 · Dist>p75 · Slope>0,ATR_MD|BB_MD|DST_FR|SLP_UP
47,4,352,0.4602,1.3539,1.1296,1.3506,1.6011,0.9975,-0.1256,152.2387,7976.67,1.2799,1.1977,1856,0.0,True,3,7,PROMOTE,ADX<p33 · PrevRng>p67 · RealVol<p33 · Slope<0,ADX_WK|PRG_HI|RV_LO|SLP_DN
48,4,258,0.4419,1.3522,1.0854,1.3435,1.6555,0.9935,-0.111,311.9817,5692.4,1.2552,1.2701,1540,0.0,True,3,7,PROMOTE,ADX>p67 · Dist>p60 · PrevRng>p80 · US(14-21UTC),ADX_ST|DST_MD|PRG_VH|US
49,4,42,0.4762,1.352,0.807,1.348,2.203,0.8345,-0.0744,13075.8791,956.46,1.1915,1.1509,443,0.2571,True,2,7,PROMOTE,ATR<p25 · BB<p33 · Dist>p60 · RealVol<p33,ATR_LO|BB_TG|DST_MD|RV_LO
50,3,138,0.4565,1.3396,0.9962,1.3434,1.7828,0.947,-0.1239,1098.2701,2980.81,1.201,1.2304,1326,0.2857,True,2,7,PROMOTE,BB<p33 · Dist>p60 · ADX<p33,BB_TG|DST_MD|ADX_WK
51,4,138,0.4565,1.3396,0.9962,1.3434,1.7828,0.947,-0.1239,1098.2701,2980.81,1.201,1.2304,1326,0.2857,True,2,7,PROMOTE,ADX<p33 · BB<p33 · Dist>p60 · Slope>0,ADX_WK|BB_TG|DST_MD|SLP_UP
52,3,426,0.4554,1.3396,1.1392,1.3404,1.5815,0.9995,-0.112,50.0972,9261.43,1.3008,1.1682,1996,0.0,True,3,7,PROMOTE,RealVol<p33 · Slope<0 · PrevRng>p80,RV_LO|SLP_DN|PRG_VH
53,4,370,0.4568,1.3374,1.1198,1.3382,1.5904,0.9955,-0.1005,77.9472,8004.07,1.2769,1.1105,2306,0.0,True,3,7,PROMOTE,BB<p50 · Dist<p33 · PrevRng>p67 · RealVol<p33,BB_MD|DST_NR|PRG_HI|RV_LO
54,4,483,0.4451,1.3359,1.1466,1.3356,1.5583,0.999,-0.1306,26.4843,10294.67,1.2631,1.161,4372,0.0,True,3,7,PROMOTE,ADX>p67 · ATR>p67 · Dist>p60 · US(14-21UTC),ADX_ST|ATR_HI|DST_MD|US
55,3,66,0.4545,1.3359,0.9014,1.3375,2.0448,0.8725,-0.0844,3159.3492,1419.94,1.2007,1.0573,813,0.2571,True,3,7,PROMOTE,ATR<p40 · Dist>p60 · Asia(0-7UTC),ATR_MD|DST_MD|ASIA
56,4,66,0.4545,1.3359,0.9014,1.3375,2.0448,0.8725,-0.0844,3159.3492,1419.94,1.2007,1.0573,813,0.2571,True,3,7,PROMOTE,Asia(0-7UTC) · ATR<p40 · Dist>p60 · Slope>0,ASIA|ATR_MD|DST_MD|SLP_UP
57,4,325,0.4462,1.3301,1.0948,1.3301,1.5994,0.99,-0.1279,89.7154,6847.31,1.258,1.2126,2019,0.0571,True,3,7,PROMOTE,ADX>p67 · Dist>p60 · BodyPct>p60 · US(14-21UTC),ADX_ST|DST_MD|PBP_HI|US
58,4,95,0.4526,1.3297,0.9647,1.3361,1.8603,0.917,-0.0928,1522.3887,2010.56,1.2249,1.0563,428,0.0,True,3,7,PROMOTE,Wed-Thu · PrevRng>p80 · RealVol<p33 · US(14-21UTC),MIDWK|PRG_VH|RV_LO|US
59,4,158,0.4367,1.327,1.014,1.333,1.7131,0.955,-0.0731,430.005,3253.27,1.2238,1.1944,1072,0.0,True,3,7,PROMOTE,ADX>p67 · Dist>p75 · Wed-Thu · PrevBody>p67,ADX_ST|DST_FR|MIDWK|PBD_HI
60,4,263,0.4335,1.3212,1.0749,1.3197,1.6125,0.987,-0.1834,108.0298,5332.77,1.2239,1.1801,1533,0.0,True,4,7,PROMOTE,ATR>p67 · Dist>p75 · PrevRng>p80 · US(14-21UTC),ATR_HI|DST_FR|PRG_VH|US
61,4,395,0.438,1.3189,1.1172,1.3265,1.5546,0.995,-0.2057,32.511,8002.25,1.2225,1.2622,3134,0.0,True,3,7,PROMOTE,ADX>p50 · ATR>p67 · Dist>p75 · US(14-21UTC),ADX_TR|ATR_HI|DST_FR|US
62,3,47,0.4681,1.3185,0.8347,1.3169,2.1635,0.8495,-0.0743,2452.8217,977.08,1.1757,1.1706,539,0.2714,True,2,7,PROMOTE,ATR<p25 · BB<p33 · Dist>p60,ATR_LO|BB_TG|DST_MD
63,4,47,0.4681,1.3185,0.8347,1.3169,2.1635,0.8495,-0.0743,2452.8217,977.08,1.1757,1.1706,539,0.2714,True,2,7,PROMOTE,ATR<p25 · BB<p33 · Dist>p60 · Slope>0,ATR_LO|BB_TG|DST_MD|SLP_UP
64,4,360,0.4389,1.3183,1.1011,1.3188,1.5672,0.9945,-0.2428,43.3927,7293.28,1.2215,1.2233,3167,0.1,True,2,7,PROMOTE,ADX>p67 · Dist>p75 · Slope>0 · US(14-21UTC),ADX_ST|DST_FR|SLP_UP|US
65,4,631,0.4548,1.3156,1.1518,1.3167,1.502,1.0,-0.2352,6.981,12913.87,1.2776,1.1379,3341,0.0,True,3,7,PROMOTE,BB<p33 · PrevRng>p67 · RealVol<p33 · Slope<0,BB_TG|PRG_HI|RV_LO|SLP_DN
66,3,203,0.4483,1.3147,1.0485,1.3123,1.6413,0.976,-0.0777,199.9308,4111.01,1.2467,1.1457,1011,0.0,True,3,7,PROMOTE,RealVol<p33 · Dist<p33 · PrevRng>p80,RV_LO|DST_NR|PRG_VH
67,4,203,0.4483,1.3147,1.0485,1.3123,1.6413,0.976,-0.0777,199.9308,4111.01,1.2467,1.1457,1008,0.0,True,3,7,PROMOTE,Dist<p33 · PrevRng>p80 · RealVol<p33 · Slope<0,DST_NR|PRG_VH|RV_LO|SLP_DN
68,3,362,0.4365,1.3061,1.1038,1.3081,1.5568,0.9925,-0.2428,29.8237,7078.68,1.2155,1.2061,3170,0.1,True,2,7,PROMOTE,Dist>p75 · ADX>p67 · US(14-21UTC),DST_FR|ADX_ST|US
69,4,465,0.4344,1.298,1.1184,1.2976,1.5038,0.996,-0.2175,11.1058,8871.27,1.2102,1.2659,3687,0.0,True,3,7,PROMOTE,ATR>p67 · Dist>p75 · Slope>0 · US(14-21UTC),ATR_HI|DST_FR|SLP_UP|US
70,4,182,0.4286,1.2972,1.0073,1.2906,1.6304,0.9565,-0.1585,106.3257,3436.5,1.1611,1.1321,1096,0.0,True,3,7,PROMOTE,ADX>p67 · Dist>p75 · PrevRng>p80 · US(14-21UTC),ADX_ST|DST_FR|PRG_VH|US
71,3,469,0.4328,1.2905,1.1088,1.2854,1.5044,0.9945,-0.2175,8.8246,8741.97,1.2078,1.2575,3694,0.0,True,3,7,PROMOTE,ATR>p67 · Dist>p75 · US(14-21UTC),ATR_HI|DST_FR|US
72,4,86,0.4535,1.2839,0.8802,1.2835,1.8199,0.8765,-0.0973,239.5525,1590.82,1.0336,1.086,754,0.2143,True,2,7,PROMOTE,ADX<p33 · BB<p50 · Dist>p60 · RealVol<p33,ADX_WK|BB_MD|DST_MD|RV_LO
73,3,170,0.4294,1.2839,0.9804,1.285,1.6358,0.943,-0.1373,71.0282,3073.36,1.1433,1.1628,1705,0.4,False,1,7,PROMOTE,Slope>0 · Dist>p75 · ADX<p33,SLP_UP|DST_FR|ADX_WK
74,4,226,0.4292,1.2818,1.019,1.2806,1.5919,0.965,-0.1629,41.3361,4084.22,1.1881,1.2274,1407,0.0143,True,3,7,PROMOTE,ADX>p67 · Dist>p75 · PrevBody>p67 · US(14-21UTC),ADX_ST|DST_FR|PBD_HI|US
75,4,196,0.4286,1.2817,0.996,1.2812,1.6139,0.948,-0.1034,52.8144,3531.47,1.1943,1.1368,1254,0.0143,True,3,7,PROMOTE,Dist>p75 · Wed-Thu · PrevBody>p67 · BodyPct>p60,DST_FR|MIDWK|PBD_HI|PBP_HI
76,4,311,0.4277,1.2761,1.0585,1.2769,1.5486,0.984,-0.1507,16.8371,5517.66,1.1992,1.2163,1871,0.0,True,4,7,PROMOTE,ATR>p67 · Dist>p75 · PrevBody>p67 · US(14-21UTC),ATR_HI|DST_FR|PBD_HI|US
77,3,193,0.4456,1.2721,1.0028,1.2771,1.6396,0.9505,-0.2428,52.1361,3471.21,1.2107,1.0731,950,0.0,True,3,7,PROMOTE,RealVol<p33 · PrevRng>p80 · Mon-Tue,RV_LO|PRG_VH|EARLY
78,3,220,0.4273,1.2612,1.0063,1.2618,1.5808,0.9575,-0.1207,21.0104,3721.81,1.1841,1.0642,1499,0.0143,True,3,7,PROMOTE,Dist>p75 · BodyPct>p60 · Wed-Thu,DST_FR|PBP_HI|MIDWK
79,4,218,0.4266,1.2568,0.9924,1.2576,1.5703,0.9415,-0.1207,18.095,3631.57,1.1791,1.0546,1496,0.0143,True,3,7,PROMOTE,Dist>p75 · Wed-Thu · BodyPct>p60 · Slope>0,DST_FR|MIDWK|PBP_HI|SLP_UP
80,4,558,0.4319,1.255,1.0836,1.2595,1.4492,0.997,-0.2692,2.1664,9311.26,1.1995,1.0877,5321,0.1,True,2,7,PROMOTE,ADX>p67 · Dist>p60 · Slope>0 · US(14-21UTC),ADX_ST|DST_MD|SLP_UP|US
