cfg,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf,holpf_c
A_raw_pool,10932,455.5,0.3899560922063666,0.9588394062078273,0.7249862180660724,-0.9841149642810825,0.375,5,0.9963791968400263,0.9274304599283943,0.6835136233185828
B_daily_trend,6408,267.0,0.42540574282147314,1.110537751222162,0.8477265897871453,-0.5139603496121006,0.6666666666666666,2,1.163111668757842,1.0704022988505748,0.7984604740999686
C_daily_adx,7330,305.4166666666667,0.3840381991814461,0.9352159468438538,0.7104042089389746,-0.981606319970432,0.2916666666666667,4,0.9482976040353089,0.9206460674157303,0.6766716748355668
D_ml_svm,6881,286.7083333333333,0.3997965412004069,0.9991525423728813,0.7601336614793953,-0.7971290131150934,0.5,3,1.0192901234567902,0.9812442817932296,0.7286802855632055
E_ml+trend,4458,185.75,0.4300134589502019,1.1316410861865407,0.867367658451265,-0.5915024040330468,0.7083333333333334,2,1.149046793760832,1.1171593366979091,0.8374785673099658
F_hour1218,3750,156.25,0.3688,0.876425855513308,0.6757057895493416,-0.9631774817464062,0.2916666666666667,7,0.8701117318435754,0.8816705336426914,0.6640467893413189
G_hour1218+trend,2184,91.0,0.4075091575091575,1.0316846986089645,0.7999738758340438,-0.5485478769141796,0.5416666666666666,3,0.991166077738516,1.0631868131868132,0.8048405249402333
