cid,top,bot,diff
DST_MD,3,0,3
ATR_LO,2,0,2
BBW_LO,2,0,2
ATR_MD,1,0,1
ATR_HI,1,0,1
BBW_HI,1,0,1
RV_LO,1,0,1
SLP_UP,1,0,1
ADX_WK,1,0,1
PRG_LO,1,0,1
ATR_VH,0,0,0
RV_HI,0,0,0
SLP_DN,0,0,0
DST_NR,0,0,0
DST_FR,0,0,0
ADX_TR,0,0,0
ADX_ST,0,0,0
PRG_HI,0,0,0
PRG_VH,0,0,0
PBD_HI,0,0,0
PBP_HI,0,0,0
PBP_LO,0,0,0
US,0,0,0
LON,0,0,0
ASI,0,0,0
