rank,eid,label,n_new,pf_new,wr_new,boot_new,mc_new,loo_s_new,loo_f_new,mdd_new,score_new,verdict,pf_r047,score_r047,delta_pf
1,E16,Dist>p60 · Wed-Thu · PrevBody>p67 · US(14-21UTC),108,1.282439288532744,0.42592592592592593,1.2826988163937958,0.899,1.199315531900662,1.1627214891720863,-0.07102243094484471,6,WATCHLIST,1.427,6,-0.14456071146725602
2,E10,ATR<p40 · Dist<p33 · PrevRng>p67 · RealVol<p33,153,1.3567626655606033,0.45751633986928103,1.3538118515178414,0.9705,1.2588480475174837,0.9767865918737069,-0.12312066340451794,5,WATCHLIST,1.387,6,-0.03023733443939669
3,E05,ATR<p40 · PrevRng>p80 · RealVol<p33 · Slope<0,124,1.2388368261820497,0.43548387096774194,1.2393338359961907,0.8915,1.1323425120994528,0.8134038313467657,-0.11769942868622858,5,WATCHLIST,1.416,6,-0.17716317381795021
4,E07,ATR>p67 · Dist>p75 · Wed-Thu · US(14-21UTC),87,1.1244530084699007,0.39080459770114945,1.1228038027551874,0.7055,1.0428109854885947,1.021131618518542,-0.09961505909029199,3,REJECT,1.509,6,-0.3845469915300992
5,E11,ADX>p50 · Dist>p75 · Wed-Thu · US(14-21UTC),94,1.1244254205713797,0.39361702127659576,1.1219514984325247,0.709,1.0492129974668807,1.0173554492348922,-0.10389224053489853,3,REJECT,1.483,6,-0.35857457942862037
6,E08,Dist>p60 · Wed-Thu · BodyPct>p60 · US(14-21UTC),76,1.1124487925224045,0.39473684210526316,1.1209743590306216,0.6805,1.0250560729350384,0.9953529784200102,-0.07919154288754864,2,REJECT,1.453,6,-0.3405512074775956
7,E09,ADX>p67 · Dist>p75 · BodyPct>p60 · US(14-21UTC),129,1.0891225473045392,0.3875968992248062,1.0869026074273251,0.664,1.0028042503832792,0.980019155143821,-0.17244162818725398,1,REJECT,1.432,6,-0.34287745269546077
8,E15,ADX>p67 · Dist>p75 · Wed-Thu · BodyPct>p60,91,0.6240433932191412,0.26373626373626374,0.6228367260393946,0.014,0.5592659658681269,0.4855967949983306,-0.2810445429091383,0,REJECT,1.533,6,-0.9089566067808588
9,E06,ATR<p25 · Mon-Tue · BodyPct>p60 · Slope<0,106,0.5837886177988381,0.27358490566037735,0.5740353975408667,0.0025,0.5286397143944714,0.5096841050593396,-0.438579737880622,0,REJECT,1.491,6,-0.907211382201162
