label,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,fees,spread_cost,sl_slippage,holding_minutes,funding_windows_crossed,win,exit_type
A  EMA200 Only,2026-05-09 18:00:00+00:00,2026-05-10 01:00:00+00:00,2328.73,2318.3043000000002,2319.0,2348.19,-142.95601829393127,-1.0715005138745899,23.879929599177753,4.775985919835551,7.150051387458986,420,0,False,SL
A  EMA200 Only,2026-05-10 13:00:00+00:00,2026-05-10 14:00:00+00:00,2323.26,2330.1400000000003,2319.82,2330.1400000000003,87.97896059847172,2.0,50.07403390063962,10.014806780127923,0.0,60,0,True,TP
A  EMA200 Only,2026-05-11 16:00:00+00:00,2026-05-12 01:00:00+00:00,2332.36,2311.636301,2312.33,2372.4200000000005,-120.83772231951974,-1.034633000499247,11.592601849725295,2.3185203699450594,3.463300049924699,540,1,False,SL
A  EMA200 Only,2026-05-13 10:00:00+00:00,2026-05-13 11:00:00+00:00,2320.08,2312.865932,2313.56,2333.12,-163.9249012147176,-1.1064521472392317,35.52872647239274,7.105745294478548,10.645214723923162,60,0,False,SL
A  EMA200 Only,2026-05-14 17:00:00+00:00,2026-05-14 20:00:00+00:00,2315.04,2291.81225,2292.5,2360.12,-118.36562267080794,-1.0305124223602506,10.219281832298154,2.043856366459631,3.0512422360250757,180,0,False,SL
A  EMA200 Only,2026-05-23 21:00:00+00:00,2026-05-24 21:00:00+00:00,2145.22,2072.87795,2073.5,2288.6599999999994,-105.26346733128821,-1.0086733128834349,2.940670628834364,0.5881341257668729,0.8673312883434836,1440,3,False,SL
A  EMA200 Only,2026-05-25 17:00:00+00:00,2026-05-25 19:00:00+00:00,2135.53,2123.0328990000003,2123.67,2159.2500000000005,-132.28785615008064,-1.0537184654299996,17.953469220067262,3.5906938440134524,5.371846542999961,120,0,False,SL
A  EMA200 Only,2026-05-26 11:00:00+00:00,2026-05-26 15:00:00+00:00,2126.7,2092.6720100000002,2093.3,2193.499999999999,-111.34012935928128,-1.018802095808382,6.3164251646707275,1.2632850329341454,1.8802095808382069,240,0,False,SL
A  EMA200 Only,2026-06-14 22:00:00+00:00,2026-06-15 13:00:00+00:00,1717.89,1815.89,1668.89,1815.89,195.6729224489796,2.0,3.605897959183674,0.7211795918367347,0.0,900,1,True,TP
A  EMA200 Only,2026-06-18 07:00:00+00:00,2026-06-18 15:00:00+00:00,1734.78,1724.172593,1724.69,1754.9599999999998,-130.82443563726582,-1.0512791873141776,17.140498478691917,3.4280996957383834,5.127918731417766,480,1,False,SL
A  EMA200 Only,2026-06-20 06:00:00+00:00,2026-06-20 14:00:00+00:00,1725.25,1710.9165710000002,1711.43,1752.8899999999999,-122.34846557597493,-1.0371511577423924,12.431861689580375,2.4863723379160754,3.715115774239236,480,1,False,SL
