group,n_symbols,n_trades,win_rate,pf,boot_p50,boot_lo,boot_hi,mc_p,net_r,profitable_syms
Layer 1,5,17,29.4,0.804,0.804,0.257,1.733,39.3,-2.431,3
Layer 2,3,23,60.9,3.051,3.051,1.509,7.055,99.6,18.822,3
DeFi,9,52,38.5,1.227,1.226,0.724,1.963,75.2,7.388,5
Gaming,4,17,47.1,1.744,1.744,0.816,3.602,89.8,6.825,3
Infrastructure,3,13,30.8,0.872,0.872,0.164,2.288,36.4,-1.177,0
AI,1,7,14.3,0.329,0.329,0.0,1.479,7.1,-4.079,0
Meme,1,4,50.0,1.955,1.955,0.651,5.871,68.8,1.954,1
