cfg,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf,holpf_c
T1_bear_rev_long_d0,1230,51.25,0.33658536585365856,1.0001009930211235,0.8858229060763458,-0.433132188670622,0.4583333333333333,5,1.0125846448564741,0.9882739096826798,0.8675753298213397
T1_bear_rev_long_d0,1183,49.291666666666664,0.28064243448858833,1.0319766211200614,0.9236258882742773,-0.3935454938692081,0.5833333333333334,4,1.0335295290514583,1.0305115800812175,0.9151223268598775
T1_bear_rev_long_d2,1030,42.916666666666664,0.33495145631067963,0.9896907097942504,0.8777709391436792,-0.4423747005321203,0.5,3,1.0002753515643874,0.9799132600356513,0.860885244229833
T1_bear_rev_long_d2,1009,42.041666666666664,0.2745292368681863,0.9966508460539801,0.8929258894930272,-0.4182752455232397,0.625,4,0.9854302969502908,1.0071625914185196,0.8945599102218286
T2_bear_fol_short_d0,741,30.875,0.3144399460188934,0.8907255744505327,0.787484243877393,-0.540916727087518,0.4166666666666667,4,0.8942670593389094,0.8874980552422582,0.7773864846781181
T2_bear_fol_short_d0,642,26.75,0.24610591900311526,0.8554008600363913,0.764375093046593,-0.5762717179470287,0.3333333333333333,4,0.9151240103182665,0.8037484132708743,0.7115930264384436
T2_bear_fol_short_d2,721,30.041666666666668,0.3120665742024965,0.8800062666251183,0.778302831182441,-0.5492203250045553,0.4166666666666667,4,0.8868306038490477,0.8738586972567768,0.7654215056455376
T2_bear_fol_short_d2,633,26.375,0.24644549763033174,0.8496217037298722,0.7592933662366824,-0.5872077474979892,0.3333333333333333,4,0.8928276027038675,0.8119044698764586,0.7189761793746717
T3_bull_rev_short_d0,1291,53.791666666666664,0.3423702556158017,1.030899533683966,0.9115086219201199,-0.4586026112002857,0.5,5,1.053065827021496,1.0121357216644924,0.8830944272553541
T3_bull_rev_short_d0,1249,52.041666666666664,0.27942353883106485,1.0571175207722932,0.9452902205519047,-0.4217667787068712,0.625,2,1.0826968632999918,1.0355853355682283,0.9148126718501275
T3_bull_rev_short_d2,1101,45.875,0.3333333333333333,0.993130421553824,0.8782665605932073,-0.4258539706870293,0.4583333333333333,5,0.9754654024487329,1.0081437599964145,0.8803092988352273
T3_bull_rev_short_d2,1080,45.0,0.275,1.034896250755812,0.9254903373618699,-0.3844052153274201,0.5416666666666666,3,1.0013021172660639,1.0631506511220163,0.9397551043140253
T4_bull_fol_long_d0,812,33.833333333333336,0.3374384236453202,0.9962018423076998,0.882960945517751,-0.4603198230306238,0.4166666666666667,4,0.8891789417754473,1.0988599615734702,0.9620616858791734
T4_bull_fol_long_d0,704,29.333333333333332,0.2897727272727273,1.0691561967881413,0.9574757645668205,-0.42796657277934064,0.5833333333333334,2,0.9732757837375137,1.1660213192976396,1.0304851345823243
T4_bull_fol_long_d2,786,32.75,0.33078880407124683,0.9706399066820357,0.8608727626426497,-0.4328002891114201,0.375,4,0.8822424284646198,1.054977597359043,0.9243252142041862
T4_bull_fol_long_d2,691,28.791666666666668,0.2821997105643994,1.0355494799776495,0.9275775851254404,-0.43901791976006715,0.5,4,0.9373272861527344,1.1343317491572416,1.0025013111573629
