cfg,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf
A_base_ref,250,9.25925925925926,0.584,2.105769230769231,1.7797286147951923,-0.15863072278046117,0.7142857142857143,2,3.590909090909091,1.4154929577464788
B_rich,193,7.148148148148148,0.6113989637305699,2.36,1.9962926520841218,-0.14122658384304387,0.5,3,3.4545454545454546,1.5
C_rich_sized,193,7.148148148148148,0.6113989637305699,2.346853189823777,1.9601002788065836,-0.11644959153637935,0.5,4,3.359604495536486,1.4621548289880633
D_gboost,209,7.7407407407407405,0.6220095693779905,2.4683544303797467,2.0637487704288757,-0.14981431800461273,0.7857142857142857,2,5.386363636363637,1.3421052631578947
E_rich_dtrend,55,2.037037037037037,0.7636363636363637,4.846153846153846,4.089091028712476,-0.03940399000000002,0.5833333333333334,4,9.9,1.6875
