rank,conditions,ues,pf_comb,pf_orig,pf_new,n,win_rate,boot_med,mc_prob,sym_floor,fold_floor,mdd,score,verdict,n_conds,categories
33,ATR_MD+PRG_HI+PBP_LO,41.8,1.1346,1.1936,1.0806,396,0.4066,1.1298,0.884,1.0807,0.8812,-0.2322,3,REJECT,3,prev+vol
34,ADX_WK+PRG_VH+PBP_LO,41.2,1.112,1.2032,1.0164,392,0.3954,1.0918,0.806,1.0746,0.9436,-0.1755,3,REJECT,3,prev+trend
35,DST_MD+ADX_WK+LON,41.1,1.1018,1.0546,1.2059,283,0.4028,1.0929,0.81,1.0256,1.0483,-0.1951,4,REJECT,3,session+trend
36,ATR_HI+BBW_LO+SLP_DN+ASI,39.9,1.0952,1.1277,1.0621,303,0.4059,1.1041,0.812,1.0591,0.8685,-0.1716,3,REJECT,4,session+trend+vol
37,RV_LO+SLP_DN+PRG_HI+US,39.8,1.0985,1.1627,1.0323,994,0.4064,1.0945,0.922,1.0807,0.9608,-0.3351,3,REJECT,4,prev+session+trend+vol
38,BBW_LO+PRG_VH+PBP_LO+US,38.2,1.0998,1.3661,0.805,195,0.4,1.1026,0.756,1.0431,0.897,-0.141,3,REJECT,4,prev+session+vol
39,BBW_LO+SLP_DN+PRG_HI,37.4,1.0615,1.082,1.0383,1994,0.3967,1.0616,0.896,1.0519,0.9894,-0.5196,3,REJECT,3,prev+trend+vol
40,ATR_HI+BBW_LO+SLP_DN+ADX_ST,37.3,1.0916,1.1146,1.0678,402,0.4005,1.0875,0.788,1.0467,0.9308,-0.2467,3,REJECT,4,trend+vol
41,RV_HI+SLP_DN+ADX_WK+US,37.0,1.0913,1.0119,1.1927,426,0.3873,1.0889,0.802,1.0622,0.9827,-0.2916,3,REJECT,4,session+trend+vol
42,ATR_VH+BBW_LO+SLP_DN+ADX_ST,36.6,1.0939,0.979,1.2156,211,0.3981,1.0978,0.75,1.0328,0.8259,-0.1565,2,REJECT,4,trend+vol
43,ATR_VH+SLP_DN+DST_NR+ASI,36.4,1.1071,1.0293,1.2402,364,0.3929,1.1066,0.822,1.0794,0.8787,-0.315,3,REJECT,4,session+trend+vol
44,RV_LO+SLP_DN+PRG_VH+US,34.9,1.1021,1.3425,0.874,474,0.4051,1.0929,0.852,1.0734,0.8522,-0.3481,3,REJECT,4,prev+session+trend+vol
45,ADX_WK+PRG_VH+PBP_LO+US,33.5,1.05,1.3499,0.7545,262,0.3817,1.0677,0.678,0.9987,0.9528,-0.1542,1,REJECT,4,prev+session+trend
46,ATR_VH+BBW_LO+ADX_TR+PRG_LO,33.4,1.0985,1.249,0.9515,174,0.4195,1.1051,0.716,1.0524,0.8019,-0.2391,2,REJECT,4,prev+trend+vol
47,RV_LO+PRG_VH+PBP_LO+US,33.0,1.0827,1.4655,0.7035,193,0.399,1.081,0.676,1.0406,0.8335,-0.1578,1,REJECT,4,prev+session+vol
48,ATR_HI+BBW_LO+RV_LO+ASI,32.2,1.0457,1.1746,0.8997,382,0.4031,1.0565,0.724,1.014,0.9125,-0.2299,3,REJECT,4,session+vol
49,ATR_VH+DST_NR+ASI,31.8,1.0757,0.9928,1.2203,370,0.3865,1.07,0.762,1.0482,0.8551,-0.315,3,REJECT,3,session+trend+vol
50,RV_LO+PRG_VH+PBP_LO,31.7,1.0671,1.2538,0.8721,323,0.3963,1.0737,0.75,1.0294,0.9218,-0.3118,3,REJECT,3,prev+vol
