strategy,pf,wr,n,mdd,expectancy,rf,boot_p5,monthly_top3_pct,mc_p95_streak,max_streak,sym_top5_pct,sym_top10_pct,edge_verdict,score_monthly,score_rr,score_freq,score_conc,score_persist,score_overall
Family A,3.3529411764705883,0.6263736263736264,91,-0.06936416184971098,87.91208791208791,6.75,2.4390243902439024,93.8,6,12,43.8,68.8,DECAYING ↓ ⚠,100,100,29.5,69.4,100,84.8
Family C (ADX+PBD),1.691891891891892,0.4582723279648609,2049,-0.211864406779661,37.48169838945827,9.378048780487806,1.5727986050566696,60.8,16,25,20.2,37.1,DECAYING ↓ ⚠,100,100,82.2,100.0,100,97.3
