cfg,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf
LR,233,8.62962962962963,0.5965665236051502,2.2180851063829787,1.8680791857421402,-0.1409055293073687,0.6428571428571429,3,3.3970588235294117,1.55
RF,263,9.74074074074074,0.5665399239543726,1.9605263157894737,1.6347171133128104,-0.17383137616441327,0.7142857142857143,2,3.075,1.3581081081081081
SVM,249,9.222222222222221,0.5983935742971888,2.235,1.8705139348601876,-0.14537153191326457,0.7142857142857143,2,3.7058823529411766,1.4772727272727273
MLP,216,8.0,0.5972222222222222,2.2241379310344827,1.867302528017641,-0.14505202697653266,0.6428571428571429,3,3.9310344827586206,1.3706896551724137
NB,235,8.703703703703704,0.5829787234042553,2.0969387755102042,1.7414787016535351,-0.17383137616441327,0.7142857142857143,2,3.1125,1.396551724137931
ENSEMBLE,246,9.11111111111111,0.5772357723577236,2.048076923076923,1.7152247729544452,-0.17383137616441327,0.6428571428571429,3,2.8902439024390243,1.5
