variant,n,tpm,pf,wr,mdd,prof,selpf,holpf,holmdd
BASE,116,4.296296296296297,2.0510204081632653,0.5775862068965517,-0.09157129021568064,0.65,2.338235294117647,1.4,-0.03940399000000018
V01_br30,149,5.518518518518518,1.647887323943662,0.5234899328859061,-0.13190338863098267,0.5384615384615384,1.86,1.1428571428571428,-0.049009950099999845
V02_br35,143,5.296296296296297,1.6544117647058822,0.5244755244755245,-0.1447324025921009,0.56,1.8,1.25,-0.04900995010000015
V03_br40,138,5.111111111111111,1.7857142857142858,0.5434782608695652,-0.1447324025921009,0.5833333333333334,1.9565217391304348,1.3235294117647058,-0.04900995010000015
V04_br45,123,4.555555555555555,1.8545454545454545,0.5528455284552846,-0.12736700601173456,0.6086956521739131,2.0384615384615383,1.40625,-0.0394039900000001
V05_vc80,131,4.851851851851852,1.8305084745762712,0.549618320610687,-0.11954038646534298,0.6086956521739131,2.0853658536585367,1.25,-0.06341413515566116
V06_vc90,144,5.333333333333333,1.7238805970149254,0.5347222222222222,-0.11986942542676933,0.5652173913043478,1.9565217391304348,1.2142857142857142,-0.09123167192740259
V07_rv13,156,5.777777777777778,1.62,0.5192307692307693,-0.1053308192948592,0.45454545454545453,1.9411764705882353,0.9375,-0.09663148338621652
V08_rv10,222,8.222222222222221,1.4210526315789473,0.4864864864864865,-0.14122658384304373,0.4166666666666667,1.5925925925925926,1.0,-0.14122658384304393
V09_bbwlo,140,5.185185185185185,1.6343283582089552,0.5214285714285715,-0.14981431800461337,0.5652173913043478,1.78125,1.263157894736842,-0.044397648357985056
C1_br40vc80,155,5.7407407407407405,1.6418918918918919,0.5225806451612903,-0.17013470550271306,0.5384615384615384,1.8055555555555556,1.2,-0.07277999380410453
C2_br40vc80rv,204,7.555555555555555,1.4423076923076923,0.49019607843137253,-0.18695298447250877,0.5,1.62,0.9827586206896551,-0.11921122449189804
C3_br45vc80,138,5.111111111111111,1.6846153846153846,0.5289855072463768,-0.15423400827246628,0.56,1.858695652173913,1.263157894736842,-0.06341413515566117
C4_br40bbw,163,6.037037037037037,1.5185185185185186,0.5030674846625767,-0.1866490248632091,0.56,1.6,1.2857142857142858,-0.05395367187440528
