hyp,sym,ts,r,win,hour,dow,rsi14,vwap_dist,macd_hist,stochK,atr_rank,rel_vol,ema_dist_pct,bb_width,real_vol_20,prev_body_r,adx14,breadth,dist_hi48,green_streak
K1_vwap,BTC_USDT_SWAP,2026-04-13 00:05:00+00:00,1.5,1,0,0,49.33002107798898,0.9592510849954023,29.202364237622845,86.05841831521467,83.0,1.2402333022065146,-0.48244847340539726,0.26862548072894965,0.141391944117508,0.0689223767039495,28.82941086660344,1.0,-1.1947308021066583,1
K1_vwap,BTC_USDT_SWAP,2026-04-13 02:25:00+00:00,-1.0,0,2,0,58.64530225782955,1.414045396310118,-7.6310514669772544,41.247337890683816,49.0,1.233336577280868,0.03422786422454957,0.13787653057498198,0.07662815237094035,0.09774964838255977,23.36487822887644,1.0,-0.7260694778909227,3
K1_vwap,BTC_USDT_SWAP,2026-04-13 04:35:00+00:00,-1.0,0,4,0,62.31724137931223,0.7641043872968551,14.046458951283952,76.2371703474436,6.0,1.9651239780344056,-0.05623553571978414,0.16662025251231924,0.06876267049978874,0.09947952649433459,17.584371370616722,1.0,-0.8482542587049946,3
K1_vwap,BTC_USDT_SWAP,2026-04-13 12:05:00+00:00,-1.0,0,12,0,73.64181341326207,0.9350695463194297,10.36557403229087,75.64611012542146,83.0,2.8053495862829183,0.06180941639243023,0.20601104200657216,0.08171630050606521,0.10406826426280506,19.766114133754936,0.8,-0.547416619495722,1
K1_vwap,BTC_USDT_SWAP,2026-04-13 12:50:00+00:00,-1.0,0,12,0,64.81275078020481,2.676613550055644,10.864140413648627,34.69479229547501,100.0,4.6052297635122414,0.33433585569604773,0.2363077312455798,0.12398206212902545,0.06872968628496583,18.937278006224812,1.0,-0.28274551782502266,3
K1_vwap,BTC_USDT_SWAP,2026-04-13 13:00:00+00:00,-1.0,0,13,0,59.54913189709969,2.1774125992125044,23.800812624668367,50.47098842225678,100.0,1.411024913032257,0.28190356712665743,0.2947821816463106,0.13468714010038146,0.18200885410435302,22.100047305606548,1.0,-0.3305236256438304,1
K1_vwap,BTC_USDT_SWAP,2026-04-13 13:40:00+00:00,1.5,1,13,0,55.637520303193995,0.5042301941741255,-13.936592909908654,49.377137078957404,100.0,2.512525976887391,0.07042896191206421,0.39525422620112927,0.17399641996963974,0.3549144279141015,26.089746082168023,0.2,-0.5263998565255834,1
K1_vwap,BTC_USDT_SWAP,2026-04-13 13:45:00+00:00,-1.0,0,13,0,70.04257450538435,3.5616349551063315,21.30270316381275,59.00574484582415,100.0,4.380680926295874,0.8738774595335286,0.5350627705797182,0.24603113276427868,0.2676210879783199,26.849673662693668,1.0,0.0,2
K1_vwap,BTC_USDT_SWAP,2026-04-13 13:55:00+00:00,-1.0,0,13,0,66.90472982077878,3.161746784414838,48.842591446279954,86.83514007220872,100.0,2.2785113125755494,0.9110994275557356,0.6780486959528561,0.2541388208106662,0.1941666025044231,28.785075828923937,1.0,0.0,1
K1_vwap,BTC_USDT_SWAP,2026-04-14 06:15:00+00:00,1.5,1,6,1,59.813333333333304,1.0515312787956337,7.580397983797351,100.0,8.0,1.3473095437739377,1.2543923899883485,0.14213258007352841,0.04961471849557838,0.00928641317001024,13.705637160716355,0.6,-0.49966421494523905,1
