feature,n,win_rate,profit_factor,expectancy_r,avg_r,net_pnl,max_drawdown,decile,midpoint
ATR Rank Percentile,9,0.7777777777777778,3.03345568809228,1.3333333333333335,1.3035156976331257,699.1793560109544,-0.018586843837091117,"D1
[0.00,1.02)",0.0
ATR Rank Percentile,11,0.36363636363636365,0.6881631428368948,0.09090909090909094,0.036492662767826124,-322.09967059566185,-0.06008267581154478,"D2
[1.02,10.20)",6.122448979591836
ATR Rank Percentile,7,0.5714285714285714,1.619193776213733,0.7142857142857142,0.6876711369467479,255.07690502833225,-0.014792114719207935,"D3
[10.20,22.45)",22.448979591836736
ATR Rank Percentile,8,0.125,0.21016417304131604,-0.625,-0.6683807709031019,-717.6660612383232,-0.06255093866902596,"D4
[22.45,30.61)",26.53061224489796
ATR Rank Percentile,8,0.25,0.43736478325456896,-0.25,-0.29423009260845956,-457.22169088845334,-0.0535417848997043,"D5
[30.61,48.98)",35.714285714285715
ATR Rank Percentile,9,0.1111111111111111,0.18186050989953012,-0.6666666666666666,-0.7159919712771686,-872.799396987344,-0.09619678781171562,"D6
[48.98,65.31)",65.3061224489796
ATR Rank Percentile,8,0.625,2.427681155973503,0.875,0.8588986928491165,538.8904528525004,-0.012491377597876153,"D7
[65.31,76.53)",72.44897959183675
ATR Rank Percentile,10,0.2,0.34297073039402926,-0.4,-0.4404395993893287,-685.3428504335047,-0.07455926881346799,"D8
[76.53,85.71)",81.63265306122449
ATR Rank Percentile,7,0.14285714285714285,0.2156827810185273,-0.5714285714285715,-0.6249631311374184,-647.2049739544038,-0.07085259547639512,"D9
[85.71,95.12)",89.79591836734694
ATR Rank Percentile,9,0.4444444444444444,1.2113224724864637,0.33333333333333326,0.3101984597687847,132.12215385343058,-0.03168412974773921,"D10
[95.12,100.00)",100.0
