rank,strategy,name,environment,n_trades,win_rate,profit_factor,expectancy_r,sharpe,max_drawdown,boot_p5,boot_p50,boot_p95,mc_prob_profit,loo_sym_floor,loo_fold_floor,criteria_score,verdict
1,RELVOL,RelVol Breakout,BASELINE,22,0.5455,1.8168,0.6364,1898628049836.6108,-0.0265,0.8742,1.8383,3.9878,0.939,1.5037,1.5166,6,WATCHLIST
2,DONCHIAN,Donchian Breakout,BASELINE,13,0.5385,1.7467,0.6154,622362950246.3937,-0.0325,0.6595,1.7494,5.0374,0.7885,1.492,1.1916,6,WATCHLIST
3,EMA_PULLBACK,EMA Pullback,BASELINE,38,0.4737,1.4164,0.4211,207234.0208,-0.0468,0.8052,1.4197,2.4399,0.8525,1.256,1.2635,6,WATCHLIST
4,MEAN_REV,Mean Reversion,BASELINE,38,0.4737,1.4164,0.4211,207234.0208,-0.0468,0.8052,1.4197,2.4399,0.8525,1.256,1.2635,6,WATCHLIST
5,BOS,Break of Structure,BASELINE,31,0.4516,1.263,0.3548,186.8935,-0.0697,0.639,1.2616,2.3465,0.695,1.0757,0.9719,5,WATCHLIST
6,MOMENTUM,Momentum Close,BASELINE,49,0.449,1.2602,0.3469,128.4325,-0.1184,0.7502,1.2542,2.0104,0.758,1.1016,1.1126,6,WATCHLIST
7,ORB,Opening Range Breakout,BASELINE,38,0.4211,1.1067,0.2632,0.0429,-0.1,0.6162,1.101,1.8826,0.6035,0.9968,0.9248,2,REJECT
8,FVG,Fair Value Gap,BASELINE,42,0.3571,0.8499,0.0714,-0.0001,-0.151,0.4721,0.8377,1.4039,0.285,0.7029,0.6835,1,REJECT
9,LIQ_SWEEP,Liquidity Sweep,BASELINE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,REJECT
