feature,n,win_rate,profit_factor,expectancy_r,avg_r,net_pnl,max_drawdown,decile,midpoint
EMA200 Slope (%),9,0.5555555555555556,1.5782960119182712,0.6666666666666667,0.6354995797900405,318.7823901460976,-0.04246526345681056,"D1
[-0.04,0.04)",0.014299090265166476
EMA200 Slope (%),9,0.1111111111111111,0.14845408348221614,-0.6666666666666666,-0.7350790901053705,-996.1981438603702,-0.1033013801026293,"D2
[0.04,0.09)",0.06698951166321539
EMA200 Slope (%),8,0.25,0.295200741172817,-0.25,-0.3105511376292625,-627.959503585771,-0.07004292915788318,"D3
[0.09,0.13)",0.12009698672906322
EMA200 Slope (%),9,0.0,0.0,-1.0,-1.0565177684763054,-1179.0837609559712,-0.10696330423606522,"D4
[0.13,0.18)",0.145183352980577
EMA200 Slope (%),8,0.375,0.7789328300900429,0.125,0.09016104937502809,-147.56459970982587,-0.04135797887984236,"D5
[0.18,0.24)",0.18911796356101357
EMA200 Slope (%),9,0.5555555555555556,1.5247157770504898,0.6666666666666667,0.6347371408694279,300.47439556026734,-0.015282961235395201,"D6
[0.24,0.29)",0.2787897779488517
EMA200 Slope (%),8,0.5,1.4748335613854031,0.5,0.48256059163720266,229.7913284475709,-0.01229288690662991,"D7
[0.29,0.38)",0.31828791615592933
EMA200 Slope (%),9,0.4444444444444444,1.1360856718585948,0.33333333333333326,0.3084609908533097,86.35958881565278,-0.051411367774623275,"D8
[0.38,0.48)",0.41692453596945767
EMA200 Slope (%),8,0.375,0.8940318629127368,0.125,0.10119310091812556,-65.12395723238785,-0.03702931918851797,"D9
[0.48,0.62)",0.5634976200705223
EMA200 Slope (%),9,0.4444444444444444,1.0050584996172056,0.33333333333333326,0.299440570694728,3.456486022263988,-0.041419837626944886,"D10
[0.62,0.70)",0.6767399930494112
