family,variant,cost_pct,pf,exp,n
FamilyA,E0_base,0.0,1.1325301204819278,8.461538461538462,390
FamilyA,E0_base,0.05,0.9798927546974044,-1.402933864783476,390
FamilyA,E0_base,0.1,0.8511550624907543,-11.267406191105412,390
FamilyA,E0_base,0.15,0.7411113438907991,-21.131878517427353,390
FamilyA,E0_base,0.2,0.6459653995105383,-30.996350843749287,390
FamilyA,E6_sigentry,0.0,1.4955752212389382,28.354430379746837,395
FamilyA,E6_sigentry,0.05,1.2956705705143794,18.5273706665863,395
FamilyA,E6_sigentry,0.1,1.1277405654716204,8.700310953425772,395
FamilyA,E6_sigentry,0.15,0.9846818065521299,-1.1267487597347587,395
FamilyA,E6_sigentry,0.2,0.861349919324161,-10.953808472895284,395
FamilyC,E0_base,0.0,0.9264076811853006,-5.61997052500109,10375
FamilyC,E0_base,0.05,0.8398415918676168,-13.146250850292612,10375
FamilyC,E0_base,0.1,0.764547984287034,-20.67253117558413,10375
FamilyC,E0_base,0.15,0.698459630138323,-28.19881150087565,10375
FamilyC,E0_base,0.2,0.6399856983974485,-35.725091826167166,10375
FamilyC,E6_sigentry,0.0,0.9384449129447411,-4.687113375038343,10895
FamilyC,E6_sigentry,0.05,0.8512994162403457,-12.167636161658274,10895
FamilyC,E6_sigentry,0.1,0.7754696679945625,-19.648158948278205,10895
FamilyC,E6_sigentry,0.15,0.7088860316970444,-27.128681734898134,10895
FamilyC,E6_sigentry,0.2,0.6499545805669538,-34.60920452151806,10895
