portfolio,pf,n,wr,mdd,boot_med,mc_prob,ues
E3.1,1.6398,79,0.5063,-0.0698,1.6376,0.986,69.4
DST_MD best (ADX_WK+DST_MD+RV_HI),1.3588,75,0.44,-0.1,1.3564,0.896,64.7
E3.1 + DST_MD,1.4978,154,0.474,-0.2468,1.5055,0.989,60.9
