rank,conditions,ind_score,ues,pf,n,win_rate,boot_med,mc_prob,sym_floor,fold_floor,mdd,trade_overlap,pnl_corr,score,verdict,near_e3,n_conds
1,ATR_MD+RV_LO+DST_MD+PRG_LO,88.5,34.5,1.0974,74,0.4324,1.0757,0.627,1.0269,0.9882,-0.1281,0.0,0.0,2,REJECT,False,4
2,ATR_LO+BBW_LO+DST_MD,88.5,33.4,1.0887,61,0.4262,1.0913,0.623,0.9841,0.932,-0.0895,0.0,0.0,1,REJECT,False,3
3,ATR_LO+BBW_LO+SLP_UP+DST_MD,88.5,33.4,1.0887,61,0.4262,1.0913,0.623,0.9841,0.932,-0.0895,0.0,0.0,1,REJECT,False,4
4,ATR_HI+BBW_HI+ADX_WK,88.4,29.2,1.0454,93,0.3763,1.0452,0.577,0.9453,0.9569,-0.1061,0.0,0.0,1,REJECT,False,3
