tag,label,n,wr,pf,mdd,boot_p5,boot_med,boot_p95,mc_prob,loo_sym,loo_fold,score,verdict,ues
E3.1_v1,BBW_LO+RV_LO+DST_NR+PRG_VH,96,0.4792,1.4665,-0.0741,1.0435,1.4609,2.144,0.031,1.3697,1.0922,6,WATCHLIST,77.1
E3.1_v2,BBW_STRICT+RV_LO+DST_NR+PRG_VH,79,0.5063,1.6398,-0.0698,1.0862,1.6383,2.3492,0.021,1.5153,1.173,6,WATCHLIST,80.5
DST_MD_P1,ADX_WK+DST_MD+RV_HI,75,0.44,1.3588,-0.1,0.9038,1.3568,1.9757,0.101,1.2214,1.1417,6,WATCHLIST,67.6
DST_MD_P2,ATR_LO+DST_MD+PRG_LO+RV_LO,49,0.4694,1.2801,-0.083,0.7784,1.2729,2.043,0.209,1.1537,1.1347,6,WATCHLIST,58.5
DST_MD_P3,ADX_WK+DST_MD+LON,94,0.4362,1.2254,-0.1375,0.8704,1.1858,1.6995,0.179,1.1271,1.106,6,WATCHLIST,50.2
DST_MD_PORT,DST_MD Portfolio (P1+P2+P3),183,0.4317,1.2159,-0.1517,0.9431,1.2333,1.5402,0.096,1.1548,1.1216,6,WATCHLIST,56.6
COMBINED,Combined (E3.1_v2 + DST_MD),262,0.4542,1.3312,-0.2558,1.0859,1.3313,1.6425,0.014,1.2932,1.1383,6,WATCHLIST,68.2
