cfg,n,tpm,wr,pf,pf_c,mdd,prof,worst,selpf,holpf,holpf_c
F1_london_breakout,4506,187.75,0.37905015534842434,0.9154900182957416,0.7017199363878169,-0.9444212787472547,0.3333333333333333,5,0.9370629370629371,0.8970946372882578,0.6721693683769948
F2_trend_pullback,2948,122.83333333333333,0.3850067842605156,0.9390512961941533,0.710492634988033,-0.8482028174491818,0.375,6,0.9885496183206107,0.9011684518013632,0.6627357805867494
F3_range_meanrev,63,2.625,0.3968253968253968,0.9868421052631579,0.753248247983802,-0.13770639442784824,0.43478260869565216,6,1.40625,0.6818181818181818,0.5025666913147518
F4_vwap_reclaim,5293,220.54166666666666,0.3942943510296618,0.9764504054897069,0.7357957977431032,-0.8226220908209422,0.5416666666666666,4,1.033921302578019,0.9275404157043879,0.6812038148847577
F5_momentum_burst,2691,112.125,0.38684503901895206,0.9463636363636364,0.7198422645355297,-0.7091201016166964,0.3333333333333333,7,0.9331619537275064,0.9581422018348624,0.7127366982182284
F6_crypto_champ_transfer,207,8.625,0.357487922705314,0.8345864661654135,0.6224145265150393,-0.30748046319173417,0.43478260869565216,4,1.2692307692307692,0.5555555555555556,0.41331372247144355
