sym,entry_time,pnl,win,source,atr_rank,real_vol,rel_vol,bb_width,ema_dist_pct,ema_slope,rsi14,adx14,prev_range_pct,prev_body_ratio,pullback_pct,hour_utc,dow,session,trend,regime,rf_win_prob,cluster
BNB-USDT-SWAP,2025-04-29 08:00:00+00:00,-149.7432,0,r034_trade_log.csv,10.0,0.2719153359564836,2.1188083008149685,0.01782303015213311,1.3128985991371604,0.08563889015713065,63.22617173171574,11.121368709348706,0.41017227235438886,0.8800000000000182,8.064516129032274,7,1,Asia,bull,ranging,0.37092029289198714,4
ARB-USDT-SWAP,2025-04-29 08:00:00+00:00,-107.6443,0,r034_trade_log.csv,11.0,0.7891516427395817,0.839912234911882,0.032624408106311,2.886187819185949,0.1468821864023394,56.123289148701204,14.164344260278707,1.8294482148126407,0.9516129032257942,25.0,7,1,Asia,bull,ranging,0.3697876019108887,0
ATOM-USDT-SWAP,2025-04-29 08:00:00+00:00,-119.2238,0,r034_trade_log.csv,1.0,0.6258597349755516,0.6718656747168437,0.037041533314674205,2.3444239506047504,0.15930757653769767,59.50102514880103,13.865664981079165,1.1712707182320428,0.9811320754717086,8.585858585858745,7,1,Asia,bull,ranging,0.381951215121451,0
OP-USDT-SWAP,2025-04-29 08:00:00+00:00,-109.6496,0,r034_trade_log.csv,9.0,0.8360399987509614,0.8915146786433099,0.03555719746714962,2.9001494437509825,0.192571137876359,55.852101747695194,19.194079189967134,2.053413958175861,0.9570552147239243,8.44327176780999,7,1,Asia,bull,mixed,0.42637030281288735,0
PEPE-USDT-SWAP,2025-04-30 11:00:00+00:00,-109.5455,0,r034_trade_log.csv,5.0,0.6561400968475164,1.1763580380253904,0.04128964223701695,3.5708588233396377,0.23780721869659105,56.007977911270864,14.990840254995392,1.1190689346463634,0.7700000000000187,29.91071428571409,10,2,London,bull,ranging,0.36847410429178046,0
ETH-USDT-SWAP,2025-04-30 11:00:00+00:00,-125.8696,0,r034_trade_log.csv,8.0,0.3547731365382201,0.6563565374629201,0.021373898777532166,2.242856015287393,0.21447800384343527,50.79083595474612,18.21942370227978,0.7504804736611791,0.8332103321033212,48.525214081826874,10,2,London,bull,mixed,0.4575944972335694,5
FIL-USDT-SWAP,2025-04-30 11:00:00+00:00,-108.3788,0,r034_trade_log.csv,8.0,0.5462707622474358,1.3149621194446388,0.03531971579013981,1.7470033158674951,0.025848180291633296,58.288769006866616,16.599290574138717,1.6612495485735017,0.91304347826087,21.2962962962964,10,2,London,bull,ranging,0.33930493550521595,0
DOT-USDT-SWAP,2025-04-30 12:00:00+00:00,-121.2516,0,r034_trade_log.csv,4.0,0.4637686953481425,0.5009909109969577,0.0449914778554132,0.8771886832392967,0.04233710852037803,47.41632345579723,27.429299270752818,0.9390801830002337,0.743589743589747,62.00000000000022,11,2,London,bull,trending,0.42936933503553176,5
SUI-USDT-SWAP,2025-05-01 10:00:00+00:00,194.4915,1,r034_trade_log.csv,7.000000000000001,0.8215363749825584,1.5793304584409853,0.05548308144391483,7.130614016197131,0.5779751915314291,58.8130520679151,21.425735943264808,1.2902859091684287,0.5814977973568284,4.389524160826195,9,3,London,bull,mixed,0.5057949550945134,2
LINK-USDT-SWAP,2025-05-01 10:00:00+00:00,-116.385,0,r034_trade_log.csv,10.0,0.5075432060887954,1.1283106226724693,0.06948178418761178,2.541131540695379,0.10914443571914817,65.49711568709469,25.855857092965913,1.3168503090567032,0.8571428571428636,6.552962298025165,9,3,London,bull,trending,0.4594941844513396,0
